scenario_id,delta_pathwise_label,delta_finite_difference,abs_diff
reference_0000054,0.3303840177676208,0.33037961362441326,4.40414320751481e-06
reference_0000048,0.4619164915707837,0.45970061418007313,0.0022158773907105522
reference_0000004,0.0,0.0,0.0
reference_0000051,0.4975462651125585,0.4975480141406003,1.749028041786449e-06
reference_0000053,0.9860975640349678,0.9863853392497953,0.00028777521482747925
reference_0000025,0.0,0.0,0.0
reference_0000030,0.6642612146317414,0.6642545073257293,6.707306012043723e-06
reference_0000045,0.8574939505068194,0.8569321375961532,0.0005618129106662595
reference_0000043,0.724644032136051,0.7236553444275359,0.0009886877085151236
reference_0000006,0.4937138166339986,0.49371934413529334,5.527501294733117e-06
reference_0000059,0.0028183080996416,0.0030726200372290916,0.0002543119375874917
reference_0000046,0.166334074795499,0.16633353999974748,5.347957515167145e-07
reference_0000032,0.0008900893966705,0.0013454113070870135,0.0004553219104165135
reference_0000022,0.4114975028895707,0.4116200445020398,0.000122541612469107
reference_0000035,0.1664229217261861,0.16642232441173238,5.973144537319008e-07
reference_0000012,0.8337106228730562,0.8362980033831021,0.0025873805100459224
reference_0000020,0.2491427911751584,0.24914011561204547,2.675563112924939e-06
reference_0000021,0.5593575820933905,0.5585191632171788,0.0008384188762117217
reference_0000008,0.0,0.0,0.0
reference_0000024,0.0833337463165259,0.08333342354450725,3.2277201865438254e-07
