bootstrap_id,phi,kappa,theta_log,long_run_price,sigma,half_life_days
0,0.8307907620792471,67.66271681760341,1.0299441222269659,2.8009093217509524,0.614933154219295,3.739115613497784
1,0.8743043587173422,49.02925551128088,0.9746675363806878,2.6502859408394897,0.6275673446364595,5.160158323149918
2,0.9016598463727237,37.78404828069954,1.0184017075471576,2.768765927933196,0.5838093167709515,6.695913551264813
3,0.9214559865395018,29.857097037684962,0.9786242868647383,2.6607932346803715,0.6841855528344944,8.473654373867985
4,0.7307587344542905,114.49025165283534,0.9895162569800843,2.6899329212918075,0.6857543750287369,2.20978395323594
5,0.8211316154917886,71.93123298155068,0.9477204816427216,2.579822199516559,0.555206949384597,3.5172304215787675
6,0.8809164988893794,46.27923967257419,0.9356409488273746,2.548846614546878,0.5710557828251356,5.466786461799005
7,0.830574777800362,67.7576197878948,1.0155572110945357,2.760901373724104,0.6797577161894438,3.733878517225887
8,0.8504115221174535,59.14273959131888,1.0416123469305572,2.833782373202662,0.6669067139852143,4.277764652983978
9,0.8315808014951124,67.31578546384408,1.0037624848510673,2.728528587208832,0.6625308597460386,3.7583862263668895
10,0.9276940544037714,27.39444840734697,1.0109135789678219,2.7481104844829893,0.5872543449760718,9.235401171155823
11,0.9028259212746579,37.31231566182179,0.9944268295283817,2.703174517352249,0.5470249725987492,6.780568732249711
12,0.8077397282474668,77.93311766315601,1.0302996828332804,2.8019053918387744,0.769420569502782,3.24635698520231
13,0.8258885016458076,69.82285767284026,0.9936391889101579,2.7010462255787875,0.6172384161771169,3.6234369279158223
14,0.933639416069931,25.062717502975282,0.9962692881082884,2.7081595954244446,0.6577413345682989,10.094624450614571
15,0.8999128252967028,38.49194411266026,0.9766923967411455,2.655657836618962,0.6529673684912274,6.572770659852616
16,0.8937956601291471,40.981505778209495,1.0229952707655836,2.781513685660013,0.793922869148763,6.1734852368187845
17,0.7985094590273752,82.128089871647,0.9678100964840125,2.632173936258172,0.7319872587963504,3.080538233627208
18,0.8906270129585976,42.27778770772731,0.9898322536511743,2.6907830654546796,0.5164525333892553,5.984199614544595
19,0.9312127939105967,26.01262397097767,1.0539276195756844,2.868896954762425,0.6806535799337399,9.725997699680399
20,0.7627137065953118,98.86847667092911,0.9727722504926283,2.645267648348152,0.6799570616084971,2.558942237437858
21,0.907861875987084,35.282006281807526,1.000150138709653,2.718689978424031,0.5808859112853869,7.170757776176517
22,0.7634124818844376,98.53422777292822,1.0353480789280838,2.8160862853424344,0.6794385244948877,2.567622709617359
23,0.7793225838044704,91.00552991664476,1.0477766777978097,2.8513046965704465,0.7447840653199853,2.780036786073447
24,0.8954448254240123,40.30865547334795,0.9539602916489441,2.5959701274991076,0.5735756539159612,6.276535844061149
25,0.8309700903556282,67.58393915108505,1.0166976585533734,2.7640518328049333,0.6318433904174021,3.743474027739003
26,0.8682290777309971,51.57438491712174,1.0450353292960748,2.843498980694598,0.6969642131194359,4.905511162390793
