split,model_type,price_rmse_mean,price_mae_mean,delta_rmse_mean,delta_mae_mean,delta_r2_mean,training_seconds_mean
reference,dml,0.0008005510209559,0.0001162532191018,0.0011581826865524,0.0001980169657028,0.9924976863765708,3362.792857939997
reference,mlp,0.001163411742338,0.0001281371796991,0.0093716281550204,0.0014042515463297,0.7014381181234742,2493.8814542599966
test,dml,0.001516165647208,0.0001356210617586,0.001817225237926,0.0002163330935485,0.9891446158091368,3362.792857939997
test,mlp,0.0016243947705993,0.0001226438772009,0.0085282986291524,0.0012344424093722,0.7602510876022456,2493.8814542599966
