scenario_id,delta_pathwise_label,delta_finite_difference,abs_diff
reference_0000716,0.4915171358734369,0.4912753872921726,0.00024174858126424503
reference_0000473,0.2435966860502958,0.24289734523137196,0.0006993408189238381
reference_0000343,0.2969709113240242,0.295502178272857,0.0014687330511671814
reference_0000404,0.2915958669036627,0.29111544605579776,0.00048042084786492634
reference_0000779,0.6787292584776878,0.678148789166064,0.0005804693116238102
reference_0000123,0.0010741506121121,0.001210476498709028,0.0001363258865969279
reference_0000041,0.5949876680970192,0.5941866493539187,0.0008010187431004567
reference_0000964,0.0708176186308264,0.06880110222315028,0.002016516407676125
reference_0000296,0.0833333944901824,0.0833330487250071,3.457651752969415e-07
reference_0000370,0.6554380431771278,0.6558070480534127,0.0003690048762848841
reference_0000515,0.3855908866971731,0.387120329706083,0.001529443008909892
reference_0000908,0.0594273230526596,0.059910131053208956,0.00048280800054935347
reference_0000400,3.723812642419944e-05,4.502496464061197e-05,7.786838216412529e-06
reference_0000842,0.2487928895279765,0.24879157997763826,1.3095503382520857e-06
reference_0000300,0.2264397935941815,0.22753906981423405,0.0010992762200525419
reference_0000961,0.0,0.0,0.0
reference_0000979,0.3095051441341638,0.3097316369596478,0.00022649282548398153
reference_0000530,0.7765211835503578,0.7802906033292911,0.003769419778933303
reference_0000625,0.0,0.0,0.0
reference_0000648,0.9800846502184868,0.9800635601963358,2.109002215100464e-05
