split,model_type,n_fix_future,n,price_abs_error_mean,price_abs_error_p95,delta_abs_error_mean,delta_abs_error_p95,delta_abs_error_max
test,dml,11,720,7.861574375040498e-05,0.0001795310356937,0.00011011260000039105,0.0002937104838775396,0.0012755337545084
test,dml,12,718,7.702193704124448e-05,0.00018246614163476498,8.841979150649822e-05,0.00023670277636106993,0.0008997378897055
test,mlp,1,288,0.00020041602012522497,0.0003113145247061697,0.003073772670752334,0.004281508316004072,0.1485676184069105
test,mlp,2,718,0.00023629388100385567,0.0003131020355198749,0.002956122686135391,0.005207508177963119,0.3079580101666069
test,mlp,3,719,0.00024715692999622863,0.0002895251531638901,0.0025691117605729625,0.004893377770392322,0.3521206490122563
test,mlp,4,718,0.0003193514656543218,0.00025181557360517986,0.0014178264828508447,0.003504471342701198,0.0696160473016787
test,mlp,5,719,8.164764240050916e-05,0.00021768834491991019,0.0010524648107930346,0.0029898864313684303,0.0713551360215328
test,mlp,6,718,7.266510936875274e-05,0.00016034536298738497,0.0009462997959733015,0.0021551569106078344,0.0884172458396363
test,mlp,7,719,7.856014267032498e-05,0.00019357317648119,0.0008931117083504363,0.0021739258907516002,0.051118663355334
test,mlp,8,718,6.190766761950265e-05,0.0001521389285658449,0.0007006631974186007,0.00208805029274031,0.0116858525568071
test,mlp,9,719,6.388433409083795e-05,0.00016559393936599006,0.0006522963392827997,0.002177710649374701,0.019383675816368
test,mlp,10,718,5.7599413377025876e-05,0.00013291822918556,0.000691741060710941,0.001806097522941289,0.0292972292653187
test,mlp,11,720,5.0917578241665176e-05,0.00012846803497840477,0.0005270598445123939,0.0016287969214384003,0.0102983588641775
test,mlp,12,718,4.812968519912878e-05,0.0001240723178123049,0.0004360385029420908,0.001365362054908659,0.0097876784498012
