scenario_id,model_type,n_seeds,price_true,delta_true,price_abs_error_mean,price_abs_error_max_seed,price_error_mean,price_pred_sd_seed,delta_abs_error_mean,delta_abs_error_max_seed,delta_error_mean,delta_pred_sd_seed,split,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,t,tau,n_fix_past,n_fix_future,r,kappa_q,theta_q_log_K,sigma_q,kappa_p,theta_p_log_K,sigma_p,state_seed,pricing_seed,price_K,delta,price_se_rep,delta_se_rep,n_paths,n_replications,pricing_engine,compute_backend,compute_dtype,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,required_future_avg_K_for_strike,spot_minus_required_future_avg,nearest_tau_fixing_boundary,distance_to_fixing_boundary_years,distance_to_fixing_boundary_days
test_0000000,dml,5,0.0331742689013481,0.0405028983950614,8.597197565724215e-05,0.0001644411926739,-3.745497685360216e-05,0.0001055019622461,8.238053245806797e-05,0.0001909298947037,-3.723294029654445e-05,0.0001027491386187,test,1.1338377469219267,1.0195175838863435,0.5808147308680996,0.9956823957738852,0.6350838136393577,0.3649161863606422,7,5,0.067306600511074,26.40617411397397,0.0869606549984376,0.5971704433858395,32.66452619190628,0.0,0.6247403836973323,185117385424896,185546882154496,0.0331742689013481,0.0405028983950614,,,8192,1,rqmc,pytorch_cuda,float32,1.0338438328210515,0.0338438328210517,0.0338438328210517,1.0060446459165608,0.0134729379697826,0.3333333333333333,0.0315828530273089,11.527741354967748
test_0000000,mlp,5,0.0331742689013481,0.0405028983950614,7.258885289206337e-05,0.0001406718401924,6.555831742233417e-05,6.828419171000762e-05,0.0012793621284536,0.0030055110902782,-7.715769234239997e-05,0.0017642628857535,test,1.1338377469219267,1.0195175838863435,0.5808147308680996,0.9956823957738852,0.6350838136393577,0.3649161863606422,7,5,0.067306600511074,26.40617411397397,0.0869606549984376,0.5971704433858395,32.66452619190628,0.0,0.6247403836973323,185117385424896,185546882154496,0.0331742689013481,0.0405028983950614,,,8192,1,rqmc,pytorch_cuda,float32,1.0338438328210515,0.0338438328210517,0.0338438328210517,1.0060446459165608,0.0134729379697826,0.3333333333333333,0.0315828530273089,11.527741354967748
test_0000001,dml,5,0.0,0.0,1.4305790566124244e-05,2.5858272107784352e-05,-8.11462448346706e-06,1.5950594888341165e-05,2.8325471281169208e-05,4.67508661223347e-05,1.1713356611302995e-05,3.303182161472528e-05,test,1.00002921782434,1.0377632853159997,0.1624919097539086,0.9749514585234518,0.220477192196995,0.779522807803005,2,10,0.0366251940280199,60.41127870604396,-0.1293846008037942,0.6511778904497624,32.66452619190628,0.0,0.6247403836973323,185117385424897,185546882154497,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.8980648838224355,-0.1019351161775644,0.1019351161775644,1.0050097082953098,0.0327535770206899,0.75,0.02952280780300498,10.775824848096818
test_0000001,mlp,5,0.0,0.0,6.179260058485764e-06,1.1515868805232754e-05,1.2715203994380363e-06,7.673393995410905e-06,8.930983117484302e-05,0.0003136741982727,-6.829063397896884e-05,0.0001419597460395,test,1.00002921782434,1.0377632853159997,0.1624919097539086,0.9749514585234518,0.220477192196995,0.779522807803005,2,10,0.0366251940280199,60.41127870604396,-0.1293846008037942,0.6511778904497624,32.66452619190628,0.0,0.6247403836973323,185117385424897,185546882154497,0.0,0.0,,,8192,1,rqmc,pytorch_cuda,float32,0.8980648838224355,-0.1019351161775644,0.1019351161775644,1.0050097082953098,0.0327535770206899,0.75,0.02952280780300498,10.775824848096818
test_0000002,dml,5,0.0375513844192028,0.0328311659395694,0.0001604396858925,0.0003175667357179,6.0158484770764406e-05,0.0002059398502686,0.0004596639928893,0.0011032990820637,-0.0001962057847153,0.0006258358276928,test,0.9023552877595648,1.0240904451060977,0.8770206820010166,1.05242481840122,0.8983564822468907,0.1016435177531093,10,2,0.059229245185852,48.99748721905053,-0.0545707685892418,0.6706258468329906,32.66452619190628,0.0,0.6247403836973323,185117385424898,185546882154498,0.0375513844192028,0.0328311659395694,,,8192,1,rqmc,pytorch_cuda,float32,1.037778123582174,0.0377781235821741,0.0377781235821741,0.7378759079939006,0.2862145371121971,0.08333333333333333,0.01831018441977597,6.683217313218229
test_0000002,mlp,5,0.0375513844192028,0.0328311659395694,0.0002156488880386,0.0004927042225338,-1.856719902514632e-05,0.0003063316563178,0.003372357401776,0.0106239264128829,-0.0025425346192965,0.0047948115204684,test,0.9023552877595648,1.0240904451060977,0.8770206820010166,1.05242481840122,0.8983564822468907,0.1016435177531093,10,2,0.059229245185852,48.99748721905053,-0.0545707685892418,0.6706258468329906,32.66452619190628,0.0,0.6247403836973323,185117385424898,185546882154498,0.0375513844192028,0.0328311659395694,,,8192,1,rqmc,pytorch_cuda,float32,1.037778123582174,0.0377781235821741,0.0377781235821741,0.7378759079939006,0.2862145371121971,0.08333333333333333,0.01831018441977597,6.683217313218229
test_0000003,dml,5,0.0048875869251787,0.0005946632008999,0.0001291491967978,0.0002244334002416,0.0001291491967978,8.419425569542726e-05,0.0001105035787137,0.0003092062007137,-1.3178901571702272e-05,0.0001661214665527,test,1.0131522844312713,1.0001688935939277,0.3276057518631011,0.9828172555893032,0.3650577238760888,0.6349422761239112,4,8,0.009954013004899,84.31948518753052,0.0095257166880739,0.5772538514435291,32.66452619190628,0.0,0.6247403836973323,185117385424899,185546882154499,0.0048875869251787,0.0005946632008999,,,8192,1,rqmc,pytorch_cuda,float32,1.0013083455229144,0.0013083455229143,0.0013083455229143,1.0085913722053483,-0.0084224786114206,0.6666666666666666,0.03172439054275544,11.579402548105737
test_0000003,mlp,5,0.0048875869251787,0.0005946632008999,6.6039529361117e-05,0.0001457998048177,4.0268247753240274e-05,7.754211327621462e-05,0.0006339855939365,0.0012645858015715,0.0002603942671594,0.0007954503973066,test,1.0131522844312713,1.0001688935939277,0.3276057518631011,0.9828172555893032,0.3650577238760888,0.6349422761239112,4,8,0.009954013004899,84.31948518753052,0.0095257166880739,0.5772538514435291,32.66452619190628,0.0,0.6247403836973323,185117385424899,185546882154499,0.0048875869251787,0.0005946632008999,,,8192,1,rqmc,pytorch_cuda,float32,1.0013083455229144,0.0013083455229143,0.0013083455229143,1.0085913722053483,-0.0084224786114206,0.6666666666666666,0.03172439054275544,11.579402548105737
test_0000004,dml,5,0.0211278032511472,0.0368740707635879,0.0001748800574496,0.0005068480160343,0.0001166564896522,0.0002488645163536,0.0003860799439146,0.0009825752553674,6.950158232320005e-06,0.0005618837849338,test,1.0607257111230866,1.02422706775164,0.6685479154139946,1.002821873120992,0.7393891604617238,0.2606108395382762,8,4,0.026775849610567,77.8017096221447,0.0591583806246904,0.625156005769968,32.66452619190628,0.0,0.6247403836973323,185117385424900,185546882154500,0.0211278032511472,0.0368740707635879,,,8192,1,rqmc,pytorch_cuda,float32,1.0212618702389584,0.0212618702389584,0.0212618702389584,0.9943562537580162,0.0298708139936239,0.25,0.010610839538276184,3.8729564314708074
test_0000004,mlp,5,0.0211278032511472,0.0368740707635879,8.113785125613311e-05,0.0001355027240899,-1.0839324758179066e-05,0.0001038411049737,0.0006917159391306,0.0015305296546592,0.0002314019465094,0.0008786631960937,test,1.0607257111230866,1.02422706775164,0.6685479154139946,1.002821873120992,0.7393891604617238,0.2606108395382762,8,4,0.026775849610567,77.8017096221447,0.0591583806246904,0.625156005769968,32.66452619190628,0.0,0.6247403836973323,185117385424900,185546882154500,0.0211278032511472,0.0368740707635879,,,8192,1,rqmc,pytorch_cuda,float32,1.0212618702389584,0.0212618702389584,0.0212618702389584,0.9943562537580162,0.0298708139936239,0.25,0.010610839538276184,3.8729564314708074
test_0000005,dml,5,0.0141278197988867,0.0407150760293006,0.0001285690840971,0.0002404237415646,-5.756671620689201e-05,0.0001646309829052,0.0003207391412848,0.0005009505250411,0.000113129233872,0.0003815115765949,test,0.865562962112017,1.1414595667131873,0.2670028214601905,1.0680112858407622,0.3245361078064889,0.6754638921935111,3,9,0.0774951767176389,43.88837254233658,-0.0202873923290101,0.6416518007218838,32.66452619190628,0.0,0.6247403836973323,185117385424901,185546882154501,0.0141278197988867,0.0407150760293006,,,8192,1,rqmc,pytorch_cuda,float32,1.0127384723879995,0.0127384723879995,0.0127384723879995,0.9773295713864124,0.1641299953267747,0.6666666666666666,0.008797225526844477,3.210987317298234
test_0000005,mlp,5,0.0141278197988867,0.0407150760293006,0.0001811253989413,0.0002811076984494,-4.00197981764e-06,0.0002122404940443,0.0016006272813789,0.0027978783718031,0.0004646243785417,0.0019774223012662,test,0.865562962112017,1.1414595667131873,0.2670028214601905,1.0680112858407622,0.3245361078064889,0.6754638921935111,3,9,0.0774951767176389,43.88837254233658,-0.0202873923290101,0.6416518007218838,32.66452619190628,0.0,0.6247403836973323,185117385424901,185546882154501,0.0141278197988867,0.0407150760293006,,,8192,1,rqmc,pytorch_cuda,float32,1.0127384723879995,0.0127384723879995,0.0127384723879995,0.9773295713864124,0.1641299953267747,0.6666666666666666,0.008797225526844477,3.210987317298234
