run_name,model_type,train_size,seed,selected_epoch,training_seconds,parameter_count,lambda_delta,split,n_eval,protocol_sha256,price_mse,price_rmse,price_mae,price_r2,price_max_abs_error,price_p95_abs_error,price_p99_abs_error,delta_mse,delta_rmse,delta_mae,delta_r2,delta_max_abs_error,delta_p95_abs_error,delta_p99_abs_error
dml_n4096_seed1701,dml,4096,1701,402,455.5552596000016,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.22796626658936e-05,0.008501744683645446,0.00515362913734457,0.9452080383898677,0.045635136819718224,0.01912279104024601,0.030234331621982326,0.00012929674266851636,0.011370872555284241,0.0061579661356265525,0.5762225464807211,0.07099153146240787,0.02302028686645014,0.05196475083193782
mlp_n4096_seed1701,mlp,4096,1701,275,365.4485311999997,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.59887987444702e-05,0.008717155427343842,0.005359689691259998,0.9423963091408873,0.043518734114171,0.0199738703655152,0.028651580598135554,0.0006026508828450398,0.02454894871160555,0.01714574929873105,-0.9752226639457597,0.0877042356574569,0.05419969564690244,0.06726800825536082
dml_n4096_seed2701,dml,4096,2701,466,454.11046089999945,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.269028633881001e-05,0.008525859859205405,0.005109391847202301,0.9448967630505423,0.048235197544194267,0.019144061627287465,0.031026290558575774,0.0001289272301320462,0.011354612724881735,0.006270229952641333,0.5774336449083917,0.07290619758149709,0.02521393493319931,0.04772606035394658
mlp_n4096_seed2701,mlp,4096,2701,448,365.3174626,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.265731713666134e-05,0.008523926157391401,0.005164119274311495,0.9449217555199565,0.0460710219527962,0.019688816316688205,0.028733332562553025,0.0008578394896771751,0.02928889703756656,0.019074512588604563,-1.8116178873560358,0.12606917109939905,0.06475841625964861,0.10172105211248299
dml_n4096_seed3701,dml,4096,3701,416,455.6511070999986,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.333792684132154e-05,0.008563756584660819,0.005249112691081487,0.9444058159121362,0.04472616406213516,0.01963744075227678,0.030839340008615015,0.00012914736254165192,0.011364302114149022,0.006080563554975552,0.5767121483721724,0.06969520743441013,0.024988252831431607,0.04962315256256311
mlp_n4096_seed3701,mlp,4096,3701,504,365.2703253999971,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.397842396945954e-05,0.008601071094314914,0.00523260442734949,0.9439202838445814,0.04668559779880187,0.019244987317290047,0.028492899661081657,0.0008511038968963376,0.02917368500714878,0.019663629879337056,-1.789541597592696,0.10908548025702267,0.06498541641335638,0.0953035406915392
dml_n4096_seed4701,dml,4096,4701,378,454.5349520000018,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.230814925070279e-05,0.008503419856193318,0.005184039771002706,0.9451864439910603,0.04565171326569169,0.018814288161909522,0.03069925577729817,0.00012530264941458872,0.011193866598034332,0.005999050016838692,0.5893134150775226,0.07061877862126043,0.02528982220880705,0.0500279888745108
mlp_n4096_seed4701,mlp,4096,4701,265,365.32172829999763,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.598656634304732e-05,0.008717027379964304,0.005359361554776747,0.9423980014240075,0.04348838347671669,0.019834259722141125,0.02869170168968936,0.0005108243051581636,0.022601422635713964,0.01580005352431715,-0.6742558147088826,0.0812160035809951,0.04965064406581146,0.06288266599791746
dml_n4096_seed5701,dml,4096,5701,446,455.2903226999988,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.493558502245897e-05,0.008656534238507867,0.00535262081937261,0.9431947030970192,0.04890590391464042,0.01945350876510529,0.03171323290403006,0.0001377682772790004,0.0117374732067426,0.006389886471086251,0.5484566082943638,0.06990473586496503,0.025537310598778975,0.05242458698965351
mlp_n4096_seed5701,mlp,4096,5701,406,365.59240900000077,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.540934178425936e-05,0.008683855237408057,0.005244524508024966,0.9428355694023159,0.046158005042896605,0.019760107083283497,0.029561270632590033,0.0006681199719482772,0.025848016789461376,0.017277112692467303,-1.1898013400344993,0.11951916501148001,0.05787779199247651,0.08483993024357443
dml_n16384_seed1701,dml,16384,1701,265,1082.2836075999985,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,6.981312722240361e-05,0.008355425017460429,0.004968621586598195,0.9470778079812732,0.0453670506980427,0.019084143806828484,0.02910587804802349,0.00011323623344507424,0.01064125149806517,0.0058790042013828255,0.6288617820907182,0.06794547860643445,0.024100646150973553,0.04356906490999933
mlp_n16384_seed1701,mlp,16384,1701,194,783.5730264000013,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.085715815733482e-05,0.00841766940176049,0.004998211586331737,0.9462863750830461,0.044884000635317424,0.01915188377930842,0.028803456386902664,0.00044206357597759697,0.021025307987698943,0.014471321002821684,-0.4488886004011343,0.07156297500768838,0.04399501277528661,0.058737535694311525
dml_n16384_seed2701,dml,16384,2701,2611,1084.5270544999985,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.2292135808928363e-05,0.003506014233988271,0.0012796193717613433,0.9906818846614908,0.03761191890505801,0.007167570040582576,0.01428611724147937,2.9241618756685002e-05,0.005407552011463691,0.001819455830685744,0.9041589256021763,0.06445214860268238,0.009676050121945147,0.024955057686030485
mlp_n16384_seed2701,mlp,16384,2701,155,785.5290404000007,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.070787254272129e-05,0.008408797330339297,0.004978882666951427,0.946399541793614,0.0456553498818288,0.019104083972444934,0.028509181555906142,0.00038841443946314893,0.019708232783868494,0.013365077819612142,-0.27305049352872546,0.07192686188967007,0.043221584930308955,0.05762540126213132
dml_n16384_seed3701,dml,16384,3701,204,1085.2993972000004,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.066693977994796e-05,0.008406363053065692,0.0049797191480445615,0.9464305710801899,0.04512077554489534,0.019431754716743105,0.029857904511078857,0.00010825174683546117,0.010404409970558694,0.00563446817366435,0.6451987214360364,0.06851425025734528,0.024016148055827864,0.042743272180728535
mlp_n16384_seed3701,mlp,16384,3701,285,785.9234547999986,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.036215030041534e-05,0.008388214965081388,0.004948270134740218,0.9466616182772267,0.0474929488949829,0.01917224403086466,0.02906034425201992,0.0004133707449155609,0.020331520969065764,0.013739798111818802,-0.3548462089937807,0.07905380877615344,0.04454477008647983,0.058330919136007554
dml_n16384_seed4701,dml,16384,4701,207,1088.6175206999978,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.070958123156494e-05,0.008408898930987632,0.004952933715657111,0.946398246513447,0.04814639482466587,0.0192549055710387,0.030394508344830658,0.00010980799438646537,0.010478930975365062,0.006051791429210476,0.6400980312670584,0.06793083771980596,0.02218134156290715,0.04356616186597041
mlp_n16384_seed4701,mlp,16384,4701,243,784.6180042999986,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.037278628508259e-05,0.008388848924917088,0.004980086451017056,0.9466535556155861,0.04724619236418652,0.019038516047707763,0.029144455831881237,0.0004168589448497919,0.02041712381433271,0.013646990611710074,-0.36627898336215226,0.07307926873692461,0.04518763976014883,0.05951022638231863
dml_n16384_seed5701,dml,16384,5701,195,1090.6892223999967,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.110355627436269e-05,0.008432292468502424,0.005045514099725239,0.9460995917518703,0.04690657158740229,0.019405556295959896,0.030067506569316397,0.00010837218573333538,0.010410196238944557,0.005845523098349817,0.6448039760743791,0.06843994438930326,0.02354636800643134,0.043041313206334766
mlp_n16384_seed5701,mlp,16384,5701,260,782.1595591999976,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.056412362610578e-05,0.008400245450348804,0.004982089280912502,0.9465085113824331,0.048062405655974624,0.01890078382247938,0.029256554540083,0.0003860315117929483,0.019647684642037297,0.013216783731247078,-0.26524031208751775,0.06936886990209368,0.04348830707385372,0.05621313167592663
dml_n65536_seed1701,dml,65536,1701,1594,3362.461243699996,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.4276221039311407e-06,0.0011948314123470059,0.00020322493782016804,0.9989177838879251,0.028874245159862894,0.00048244701116959064,0.0008423420934243848,7.743802837008527e-06,0.0027827689154884074,0.0003743461366565433,0.9746192442354396,0.08346342993508371,0.0008554852952140794,0.001929354857318529
mlp_n65536_seed1701,mlp,65536,1701,2996,2493.4981918999983,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.6895495379221719e-06,0.0012998267338080764,0.0001025099371067184,0.9987192284799645,0.0407582349456128,0.00016569864735737692,0.0006980602789691948,7.829323194838539e-05,0.008848346283254593,0.0011751919704935292,0.7433894638170182,0.23371307950886436,0.0027544156588778616,0.009344702284390148
dml_n65536_seed2701,dml,65536,2701,2098,3363.6571332999956,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,5.328011380469538e-07,0.0007299322831927314,0.00013909449476347775,0.9995961074190862,0.018570308708311487,0.0003391405638962657,0.0005387756106369633,3.1336016058857624e-06,0.0017701981826580217,0.00024469680592045795,0.9897294418909631,0.053914634173347534,0.0006252152803006573,0.0014772436353403728
mlp_n65536_seed2701,mlp,65536,2701,1928,2489.292170599998,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.5182460029267743e-06,0.0012321712555187993,0.0001361659415704117,0.9988490859857547,0.03791439468372453,0.000316262702137021,0.0007398706437867047,7.05941134400027e-05,0.008402030316536753,0.001466166382305881,0.7686237641442145,0.22347807614127171,0.004144821357897156,0.008175710938545938
dml_n65536_seed3701,dml,65536,3701,2840,3367.479230900004,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,4.2614511467747664e-07,0.0006527979125866417,6.719434105794479e-05,0.9996769585537265,0.020558835820105842,0.0001382581079429276,0.0003581320723067162,1.0378140413089672e-07,0.0003221512131451575,9.540788071088396e-05,0.9996598505247886,0.007707470988345939,0.0003101032832855944,0.0007688666754134509
mlp_n65536_seed3701,mlp,65536,3701,2451,2497.851951699995,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.8724367075758515e-06,0.0013683700915965138,0.00015423228732528154,0.9985805899416945,0.031544588996949355,0.0002761156151727747,0.0005853371561091575,4.693343215845521e-05,0.006850797921297578,0.0012567269549349305,0.8461729974433996,0.14536426673927508,0.003306272164871767,0.010591843414431888
dml_n65536_seed4701,dml,65536,4701,2392,3362.0116958999934,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,5.494148428224984e-07,0.0007412252308323687,0.00011155217324145636,0.9995835133166695,0.023234999041260723,0.00027682945712766426,0.0006000846666700511,3.6842575020487404e-07,0.0006069808483015539,0.00018790090970885578,0.9987924635763406,0.015298049525930828,0.0006051338794802165,0.0014770408644174764
mlp_n65536_seed4701,mlp,65536,4701,1706,2495.9048059999986,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,1.0542088496738963e-06,0.0010267467310266423,0.00014728234095033962,0.9992008516823412,0.029303771274447343,0.00032950690290048845,0.0006763229197343971,0.00014331857861493694,0.011971573773524388,0.0018479934087552042,0.5302651788904693,0.3278509490199204,0.004797875760977195,0.012741658691680851
dml_n65536_seed5701,dml,65536,5701,2959,3358.3549858999977,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,4.6781258865009913e-07,0.0006839682658209364,6.020014862633194e-05,0.9996453723156328,0.021786736591452114,0.00012536729993592726,0.00024544254266159406,9.536625531303808e-08,0.0003088142731692272,8.773309551756756e-05,0.9996874316553215,0.007872822741451138,0.00026793436621841865,0.0008178072977292776
mlp_n65536_seed5701,mlp,65536,5701,2957,2492.8601510999943,100225,0.25,reference,1024,3d36d1ace0db36494cb75207e1e2439b4cd3a45163d640b7501130670c7a1fcd,7.920001446849552e-07,0.0008899438997402899,0.0001004953915430967,0.9993996203091956,0.01863627961593769,0.000157775184578077,0.0006130189004241831,0.00011632469095818958,0.010785392480489042,0.0012751790151589743,0.6187391863222697,0.3123852953729086,0.0027226339488846656,0.00664258491347687
