split,train_size,metric,n_pairs,mlp_mean,dml_mean,dml_minus_mlp_mean,dml_minus_mlp_sd,dml_improvement_pct_mean,dml_improvement_pct_sd,dml_better_pairs,mlp_better_pairs
reference,1024,delta_mae,5,0.020683007840231853,0.010313764692922858,-0.01036924314730899,0.0015373494952301864,50.359605546975715,8.592101961984298,5,0
reference,1024,delta_mse,5,0.0008573138113163908,0.0002129839587089825,-0.0006443298526074082,7.822267011161141e-05,75.34184616805531,4.941026785110149,5,0
reference,1024,delta_rmse,5,0.029231353958427686,0.014483409976144699,-0.014747943982282994,0.0014652543501560695,50.54236763353616,4.969655910898014,5,0
reference,1024,price_mae,5,0.006052518258821733,0.006049169563457268,-3.348695364465727e-06,6.543985698299881e-05,0.06094936018950712,1.0803174235226567,2,3
reference,1024,price_mse,5,8.836423572425406e-05,8.940251476025533e-05,1.0382790360012704e-06,1.3266546493767912e-06,-1.171894046344391,1.5004016055145086,1,4
reference,1024,price_rmse,5,0.009400196971499167,0.009454981564358738,5.478459285956881e-05,7.012057685518921e-05,-0.5820288461932626,0.7457192987199405,1,4
reference,4096,delta_mae,5,0.017792211596691424,0.006179539226233676,-0.011612672370457749,0.001541208135214383,65.06723383402532,2.94603665144574,5,0
reference,4096,delta_mse,5,0.0006981077093049986,0.00013008845240716072,-0.0005680192568978379,0.00015269982620066302,80.63842920644758,4.152602797004874,5,0
reference,4096,delta_rmse,5,0.02629219403629925,0.011404225439818387,-0.014887968596480857,0.002892062167515394,56.20447965394616,4.75781948134139,5,0
reference,4096,price_mae,5,0.005272059891144539,0.005209758853200735,-6.230103794380455e-05,0.00013109539434861183,1.1598203811747894,2.4610825002047747,3,2
reference,4096,price_mse,5,7.480408959557956e-05,7.311032202383737e-05,-1.6937675717421705e-06,1.8425504625395657e-06,2.2341398703481308,2.4212227829339588,4,1
reference,4096,price_rmse,5,0.008648607059284504,0.00855026304444257,-9.834401484193276e-05,0.00010702194313603634,1.1294688148392449,1.226823199029295,4,1
reference,16384,delta_mae,5,0.013687994255441958,0.005046048546658642,-0.008641945708783313,0.00169056753088748,63.23592664175543,13.058100918653023,5,0
reference,16384,delta_mse,5,0.00040934784339980937,9.378195583140424e-05,-0.0003155658875684052,3.03972855070013e-05,77.25068673591814,8.558065794234986,5,0
reference,16384,delta_rmse,5,0.02022597403940064,0.009468468138879435,-0.010757505900521208,0.002022673689318889,53.29359466608082,10.807579932149086,5,0
reference,16384,price_mae,5,0.0049775080239905884,0.00424528158435729,-0.0007322264396332981,0.0016590958169927469,14.705538220305474,33.32326222066686,3,2
reference,16384,price_mse,5,7.057281818233196e-05,5.891706806344151e-05,-1.1655750118890452e-05,2.6147194207121148e-05,16.482563745000927,36.98018300162084,2,3
reference,16384,price_rmse,5,0.008400755214489413,0.0074217987408008905,-0.0009789564736885237,0.0021938058217155607,11.641598049149358,26.08966342710799,2,3
reference,65536,delta_mae,5,0.0014042515463297037,0.00019801696570286172,-0.0012062345806268422,0.00030533979749155967,85.36334445310396,10.373262267694956,5,0
reference,65536,delta_mse,5,9.109280942399396e-05,2.28899557050862e-06,-8.880381385348535e-05,3.9479659778640446e-05,97.02203127253668,4.2811024828229165,5,0
reference,65536,delta_rmse,5,0.009371628155020472,0.0011581826865524735,-0.008213445468467997,0.0025002442415091816,86.96917464425852,12.648837065838151,5,0
reference,65536,price_mae,5,0.00012813717969916962,0.00011625321910187576,-1.1883960597293813e-05,7.057248183921695e-05,4.077907743955525,61.145935893692695,3,2
reference,65536,price_mse,5,1.3852882485567296e-06,6.807591576256338e-07,-7.045290909310962e-07,5.023881206506606e-07,49.2934376316678,23.656643621449767,5,0
reference,65536,price_rmse,5,0.0011634117423380643,0.0008005510209559369,-0.0003628607213821275,0.00024541827532636654,30.417008078632136,16.9138801027468,5,0
test,1024,delta_mae,5,0.0208842467668817,0.010468025385469917,-0.01041622138141178,0.0016211083033476183,50.076261936134024,8.74637392157277,5,0
test,1024,delta_mse,5,0.0008956800978531703,0.0002246935238058944,-0.000670986574047276,8.158650378204362e-05,75.09468259297857,5.3241259095798785,5,0
test,1024,delta_rmse,5,0.0298806503338436,0.01487004856328276,-0.01501060177056084,0.0015936462762392316,50.32310649081482,5.331274704423153,5,0
test,1024,price_mae,5,0.005961023061201191,0.005911089617951238,-4.993344324995281e-05,6.664481439741337e-05,0.8416531412988215,1.1185778909761441,4,1
test,1024,price_mse,5,8.495694747033916e-05,8.523247707564651e-05,2.755296053073695e-07,9.224238037010901e-07,-0.32742678667087466,1.0889218457959855,1,4
test,1024,price_rmse,5,0.00921715913207389,0.00923205618747398,1.489705540008851e-05,5.004190568909681e-05,-0.16239906931919895,0.5437041308600039,1,4
test,4096,delta_mae,5,0.018047243421333323,0.0062537092605613,-0.011793534160772026,0.001539000295506823,65.15606910934568,2.7453279784076634,5,0
test,4096,delta_mse,5,0.0007333796196155028,0.00012553951047372655,-0.0006078401091417762,0.00017317682570748213,82.13368600247723,3.948929081143309,5,0
test,4096,delta_rmse,5,0.0269274135032719,0.011203820194093082,-0.015723593309178822,0.003150165958278142,57.942368123895506,4.715267851134714,5,0
test,4096,price_mae,5,0.005329648324736174,0.005325786580966625,-3.861743769549043e-06,9.560809373980027e-05,0.06616411954224741,1.7920962825379885,3,2
