split,train_size,model_type,price_mae_mean,price_mae_sd,price_rmse_mean,price_rmse_sd,delta_mae_mean,delta_mae_sd,delta_rmse_mean,delta_rmse_sd,training_seconds_mean,training_seconds_sd,selected_epoch_mean,selected_epoch_sd
reference,1024,dml,0.006049169563457268,0.00012242521497383396,0.009454981564358738,8.542817079096494e-05,0.010313764692922858,0.0021763409916018147,0.014483409976144699,0.00200461784758803,284.95962896000054,1.117155539661042,353.6,41.07675741827731
reference,1024,mlp,0.006052518258821733,7.398952874137055e-05,0.009400196971499167,2.5802646955498943e-05,0.020683007840231853,0.0012012868668557215,0.029231353958427686,0.0018847271266368359,266.21377684000106,4.253939257720032,220.4,11.802542099056458
reference,4096,dml,0.005209758853200735,9.466231829340958e-05,0.00855026304444257,6.445826825396339e-05,0.006179539226233676,0.00015436054201186218,0.011404225439818387,0.00020029517268230635,455.02842046000006,0.6745464752698995,421.6,34.93994848307593
reference,4096,mlp,0.005272059891144539,8.553752108044239e-05,0.008648607059284504,8.430250347561213e-05,0.017792211596691424,0.0015651227101752144,0.02629219403629925,0.0029215240163716375,365.390091299999,0.13099615670134995,379.6,105.97782786979548
reference,16384,dml,0.00424528158435729,0.0016582306286070062,0.0074217987408008905,0.0021891697954041396,0.005046048546658642,0.001809808804788324,0.009468468138879435,0.002272131965365691,1086.2833604799985,3.3507738182229594,696.4,1070.6506433006052
reference,16384,mlp,0.0049775080239905884,1.8117791708814314e-05,0.008400755214489413,1.2747968509321424e-05,0.013687994255441958,0.00048587038244174533,0.02022597403940064,0.0005676900092707579,784.3606170199994,1.5279788811639266,227.4,52.39561050317098
reference,65536,dml,0.00011625321910187576,5.843077910551592e-05,0.0008005510209559369,0.00022326335478544434,0.00019801696570286172,0.00011838969016215535,0.0011581826865524735,0.0010883522149784017,3362.7928579399972,3.283441555689227,2376.6,557.7291457329445
reference,65536,mlp,0.00012813717969916962,2.5163350700444958e-05,0.0011634117423380643,0.00019925287434137303,0.0014042515463297037,0.00027001472183663924,0.009371628155020472,0.0020203326297981127,2493.8814542599966,3.2446215834036805,2407.6,585.7041061833185
test,1024,dml,0.005911089617951238,0.00011400327641242688,0.00923205618747398,4.493922242738078e-05,0.010468025385469917,0.002187648565105355,0.01487004856328276,0.0021139948945972814,284.95962896000054,1.117155539661042,353.6,41.07675741827731
test,1024,mlp,0.005961023061201191,7.0706502746276e-05,0.00921715913207389,3.4003756520485254e-05,0.0208842467668817,0.0011630823459084852,0.0298806503338436,0.0018797717546762142,266.21377684000106,4.253939257720032,220.4,11.802542099056458
test,4096,dml,0.005325786580966625,7.934589418978845e-05,0.008767052023338667,3.897705006567457e-05,0.0062537092605613,0.00011241806354522783,0.011203820194093082,0.00013192579428716745,455.02842046000006,0.6745464752698995,421.6,34.93994848307593
test,4096,mlp,0.005329648324736174,4.0606158700245454e-05,0.008747357472616868,9.414238673460156e-06,0.018047243421333323,0.001601352666622511,0.0269274135032719,0.003219864445771145,365.390091299999,0.13099615670134995,379.6,105.97782786979548
test,16384,dml,0.004315571601967992,0.001635865081491415,0.007610344352217803,0.0019945701061842985,0.005232277528132603,0.0017979009144432133,0.00967395647689065,0.0021362825462047192,1086.2833604799985,3.3507738182229594,696.4,1070.6506433006052
test,16384,mlp,0.005001772551705004,2.1593657555606266e-05,0.00843757907548633,1.2783160785123843e-05,0.013890396525252164,0.0004869107232235739,0.02054197245532771,0.0005519107722966085,784.3606170199994,1.5279788811639266,227.4,52.39561050317098
test,65536,dml,0.00013562106175866702,4.610803501162979e-05,0.001516165647208072,0.0001302542437875665,0.00021633309354851911,8.488725635544919e-05,0.0018172252379260445,0.00024510459571528933,3362.7928579399972,3.283441555689227,2376.6,557.7291457329445
test,65536,mlp,0.00012264387720099863,2.5190361619646382e-05,0.0016243947705993802,4.325499721698834e-05,0.001234442409372205,0.0002642441874483764,0.00852829862915248,0.001256684727220085,2493.8814542599966,3.2446215834036805,2407.6,585.7041061833185
