date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-06-19,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.58,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-20,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.57,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-21,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.56,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-22,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-23,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-24,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.53,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-25,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-26,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-27,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-28,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.54,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-29,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.55,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-06-30,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.53,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-01,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.53,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
2026-07-02,ORNN-RTX 5090,global,RTX 5090,,global,rental_index,on_demand,,,0.52,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/RTX%205090/index-history,2026-08-27T17:04:22.636153+00:00
