date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-07-04,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.02,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-05,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.01,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-06,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.01,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-07,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.04,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-08,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.03,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-09,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.02,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-10,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.01,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-11,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.01,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-12,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.04,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-13,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.03,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-14,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.03,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-15,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.04,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
2026-07-16,ORNN-A100 SXM4,global,A100 SXM4,,global,rental_index,on_demand,,,1.04,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/A100%20SXM4/index-history,2026-08-27T17:04:22.475765+00:00
