date,index_id,market,gpu_model,memory,region,delivery_form,contract_type,price_low,price_high,price_avg,currency,unit,observation_type,source,source_url,retrieved_at_utc
2026-06-06,ORNN-B200,global,B200,,global,rental_index,on_demand,,,5.15,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-07,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.95,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-08,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.66,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-09,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.55,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-10,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.79,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-11,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.61,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-12,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.55,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-13,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.52,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-14,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.53,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-15,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.5,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-16,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.38,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-17,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.37,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-18,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.22,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-19,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.3,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-20,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.28,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-21,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.22,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-22,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.29,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-23,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.37,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
2026-06-24,ORNN-B200,global,B200,,global,rental_index,on_demand,,,4.44,USD,USD/GPU-hour,transaction_based_index,Ornn Compute Price Index (OCPI),https://api.ornnai.com/api/gpu/B200/index-history,2026-08-27T17:04:22.787826+00:00
