gpu_model,A100 SXM4,B200,H100 SXM,H200,RTX 5090
A100 SXM4,1.0,0.0887148328035043,0.0825415271870344,0.04236454539354723,0.1801339426969637
B200,0.0887148328035043,1.0,0.24126697601725944,0.2346171414051984,0.39963261881025314
H100 SXM,0.0825415271870344,0.24126697601725944,1.0,0.2702412469961923,0.20865608745603278
H200,0.04236454539354723,0.2346171414051984,0.2702412469961923,1.0,0.21141015594619425
RTX 5090,0.1801339426969637,0.39963261881025314,0.20865608745603278,0.21141015594619425,1.0
