block_id,strategy,n_paths,total_squared_error,top_1pct_n_paths,top_1pct_share_squared_error,top_5pct_n_paths,top_5pct_share_squared_error
1,no_hedge,510,0.13243403230525044,6,0.15755270289496623,26,0.4390666526797427
1,oracle_rqmc,510,0.002659716349880609,6,0.1579245668520676,26,0.3482424351257786
1,mlp_ensemble,510,3.814013143256026,6,0.40623520651016587,26,0.8402372087031529
1,dml_ensemble,510,0.4894658644371689,6,0.4513959199112392,26,0.8300062247092176
2,no_hedge,509,0.10038107106569051,6,0.13662854795308346,26,0.37484314298787075
2,oracle_rqmc,509,0.0025684322236564873,6,0.1478156739902577,26,0.3631198179050487
2,mlp_ensemble,509,3.6063191608823004,6,0.4348481537680391,26,0.8482794434211046
2,dml_ensemble,509,0.7639780002764585,6,0.47932348175937395,26,0.8529331402753807
3,no_hedge,509,0.10875178666136867,6,0.18223749734366268,26,0.4244062472828565
3,oracle_rqmc,509,0.0025803305721256056,6,0.13590015642728817,26,0.3545358092961465
3,mlp_ensemble,509,9.91883188364493,6,0.6270041152265347,26,0.8761972437090626
3,dml_ensemble,509,1.2379152138210308,6,0.5036422398518998,26,0.8595265187282989
4,no_hedge,510,0.11683798645266638,6,0.15255868100763184,26,0.39308249661377953
4,oracle_rqmc,510,0.003073071121091294,6,0.177908120951804,26,0.382805768814911
4,mlp_ensemble,510,5.782853238768805,6,0.5305572097303718,26,0.8426886647904555
4,dml_ensemble,510,0.5606874040104708,6,0.41015500246129605,26,0.8529256491942852
