block_id,n_paths,dml_lower_abs_error_than_mlp,dml_lower_abs_error_than_nohedge,mlp_lower_abs_error_than_nohedge,oracle_lower_abs_error_than_nohedge,dml_lower_abs_error_than_oracle
1,510,0.6980392156862745,0.7843137254901961,0.7019607843137254,0.9450980392156862,0.36470588235294116
2,509,0.6758349705304518,0.762278978388998,0.6797642436149313,0.9410609037328095,0.3654223968565815
3,509,0.693516699410609,0.75049115913556,0.6640471512770137,0.9508840864440079,0.343811394891945
4,510,0.7352941176470589,0.796078431372549,0.6980392156862745,0.9509803921568627,0.4235294117647059
