strategy,block_id,outer_seed,outer_path_index,path_uid,payoff_K,premium_K,premium_terminal_K,hedge_error_K,abs_hedge_error_K
no_hedge,3,12301,400,b3_p00400,0.0843182447375248,0.010719333001557797,0.011045785292412793,-0.07327245944511201,0.07327245944511201
no_hedge,1,12101,46,b1_p00046,0.08108760832075101,0.010719333001557797,0.011045785292412793,-0.07004182302833822,0.07004182302833822
no_hedge,4,12401,101,b4_p00101,0.07849440644181516,0.010719333001557797,0.011045785292412793,-0.06744862114940237,0.06744862114940237
no_hedge,1,12101,491,b1_p00491,0.07831716903989294,0.010719333001557797,0.011045785292412793,-0.06727138374748015,0.06727138374748015
no_hedge,4,12401,99,b4_p00099,0.07716684852258138,0.010719333001557797,0.011045785292412793,-0.06612106323016859,0.06612106323016859
no_hedge,3,12301,329,b3_p00329,0.07426497968377954,0.010719333001557797,0.011045785292412793,-0.06321919439136675,0.06321919439136675
no_hedge,2,12201,286,b2_p00286,0.07132627075685072,0.010719333001557797,0.011045785292412793,-0.06028048546443793,0.06028048546443793
no_hedge,3,12301,396,b3_p00396,0.06850570212616414,0.010719333001557797,0.011045785292412793,-0.057459916833751346,0.057459916833751346
no_hedge,1,12101,107,b1_p00107,0.0680560214652004,0.010719333001557797,0.011045785292412793,-0.05701023617278761,0.05701023617278761
no_hedge,3,12301,381,b3_p00381,0.06651798473482207,0.010719333001557797,0.011045785292412793,-0.055472199442409276,0.055472199442409276
no_hedge,2,12201,189,b2_p00189,0.06514541582586597,0.010719333001557797,0.011045785292412793,-0.05409963053345318,0.05409963053345318
no_hedge,1,12101,124,b1_p00124,0.0650505116411153,0.010719333001557797,0.011045785292412793,-0.054004726348702514,0.054004726348702514
no_hedge,1,12101,326,b1_p00326,0.06316080974198535,0.010719333001557797,0.011045785292412793,-0.052115024449572556,0.052115024449572556
no_hedge,1,12101,495,b1_p00495,0.06155707542326261,0.010719333001557797,0.011045785292412793,-0.05051129013084982,0.05051129013084982
no_hedge,1,12101,222,b1_p00222,0.06145813094441954,0.010719333001557797,0.011045785292412793,-0.05041234565200675,0.05041234565200675
no_hedge,1,12101,136,b1_p00136,0.06142949197294589,0.010719333001557797,0.011045785292412793,-0.0503837066805331,0.0503837066805331
no_hedge,4,12401,82,b4_p00082,0.05980981608090308,0.010719333001557797,0.011045785292412793,-0.04876403078849029,0.04876403078849029
no_hedge,1,12101,172,b1_p00172,0.059336289678508125,0.010719333001557797,0.011045785292412793,-0.048290504386095334,0.048290504386095334
no_hedge,4,12401,201,b4_p00201,0.058746603853061075,0.010719333001557797,0.011045785292412793,-0.047700818560648284,0.047700818560648284
no_hedge,1,12101,406,b1_p00406,0.05802872318216612,0.010719333001557797,0.011045785292412793,-0.04698293788975333,0.04698293788975333
no_hedge,1,12101,235,b1_p00235,0.05780889245991272,0.010719333001557797,0.011045785292412793,-0.04676310716749993,0.04676310716749993
no_hedge,4,12401,64,b4_p00064,0.05752396221932021,0.010719333001557797,0.011045785292412793,-0.04647817692690742,0.04647817692690742
no_hedge,4,12401,163,b4_p00163,0.056760311283799325,0.010719333001557797,0.011045785292412793,-0.045714525991386534,0.045714525991386534
no_hedge,3,12301,431,b3_p00431,0.05631972152503972,0.010719333001557797,0.011045785292412793,-0.04527393623262693,0.04527393623262693
no_hedge,2,12201,413,b2_p00413,0.05617656085750333,0.010719333001557797,0.011045785292412793,-0.04513077556509054,0.04513077556509054
no_hedge,3,12301,17,b3_p00017,0.05604131089968534,0.010719333001557797,0.011045785292412793,-0.044995525607272546,0.044995525607272546
no_hedge,1,12101,59,b1_p00059,0.05602571444022586,0.010719333001557797,0.011045785292412793,-0.04497992914781307,0.04497992914781307
no_hedge,4,12401,153,b4_p00153,0.05565037885738455,0.010719333001557797,0.011045785292412793,-0.04460459356497176,0.04460459356497176
no_hedge,1,12101,416,b1_p00416,0.05551884830999443,0.010719333001557797,0.011045785292412793,-0.04447306301758164,0.04447306301758164
no_hedge,1,12101,121,b1_p00121,0.055342480879465805,0.010719333001557797,0.011045785292412793,-0.044296695587053014,0.044296695587053014
no_hedge,3,12301,371,b3_p00371,0.055329633512042564,0.010719333001557797,0.011045785292412793,-0.04428384821962977,0.04428384821962977
no_hedge,4,12401,368,b4_p00368,0.054581830612950855,0.010719333001557797,0.011045785292412793,-0.043536045320538064,0.043536045320538064
no_hedge,1,12101,320,b1_p00320,0.05426131582223426,0.010719333001557797,0.011045785292412793,-0.043215530529821466,0.043215530529821466
no_hedge,1,12101,44,b1_p00044,0.054049451831963635,0.010719333001557797,0.011045785292412793,-0.043003666539550844,0.043003666539550844
no_hedge,1,12101,267,b1_p00267,0.05396495698381387,0.010719333001557797,0.011045785292412793,-0.04291917169140108,0.04291917169140108
no_hedge,3,12301,393,b3_p00393,0.05292984505468912,0.010719333001557797,0.011045785292412793,-0.04188405976227633,0.04188405976227633
no_hedge,2,12201,26,b2_p00026,0.0528493850858438,0.010719333001557797,0.011045785292412793,-0.04180359979343101,0.04180359979343101
no_hedge,1,12101,192,b1_p00192,0.05277776243740173,0.010719333001557797,0.011045785292412793,-0.04173197714498894,0.04173197714498894
no_hedge,2,12201,213,b2_p00213,0.05214137769476834,0.010719333001557797,0.011045785292412793,-0.04109559240235555,0.04109559240235555
