strategy,n_blocks,rmse_block_mean,rmse_block_sd,rmse_block_min,rmse_block_max,mae_block_mean,mae_block_sd,p95_abs_block_mean,p95_abs_block_sd,p99_abs_block_mean,p99_abs_block_sd
no_hedge,4,0.014977635481768625,0.0008794809465181761,0.014043230410586248,0.01611442127870405,0.011972550435508747,0.000388961406299984,0.03198762336344022,0.003356016985906179,0.045486103524165176,0.003941848954188042
oracle_rqmc,4,0.0023090638646868795,9.849459902378443e-05,0.002246338309975029,0.002454715798050482,0.0017421522703333888,4.762265107049866e-05,0.004647366938389605,0.0002475397753874299,0.006566667976432042,0.0003318711150023867
mlp_ensemble,4,0.10418275876456119,0.025646326241161244,0.08417307411784677,0.13959548551060283,0.035404981568998246,0.006818065543795781,0.2023472891793168,0.02491885939334178,0.5062109655610898,0.08596824576677892
dml_ensemble,4,0.03804860945164449,0.008192067159599905,0.030979622158646285,0.049315854096499745,0.013642406934675345,0.0025960045815646973,0.07737454765936194,0.011317193886772051,0.18382507164743225,0.03646331995399601
