strategy,n_paths,mean_error,std_error,rmse,mae,median_abs_error,p95_abs_error,p99_abs_error,max_abs_error,loss_var95,loss_cvar95,loss_var99,loss_cvar99,prob_shortfall
no_hedge,2038,0.0002593408291528086,0.01499906404153003,0.01499762618581712,0.011972863464438953,0.011045785292412793,0.03205361391850851,0.04665768297848067,0.07327245944511201,0.03205361391850851,0.041925621405885474,0.04665768297848067,0.05655359549965996,0.3547595682041217
oracle_rqmc,2038,8.601815971238703e-06,0.0023112496723458878,0.0023106985747206182,0.0017421764007185848,0.0013559803892758248,0.004684253534552038,0.0066823744904526685,0.012078336659759006,0.0038573260257329586,0.005457786212835992,0.006357156856629755,0.008341023280460672,0.4803729146221786
mlp_ensemble,2038,-2.683202207513081e-06,0.10654114195811627,0.10651500013359755,0.035403327021215444,0.003345044861082281,0.2082938470417689,0.4602502631728532,1.683016035646306,0.10734529599298884,0.26693916625507014,0.3896232727419104,0.5481335831462414,0.4313052011776251
dml_ensemble,2038,0.0007096626281934672,0.038701430694199755,0.03869844211657387,0.013640525960092773,0.0021166130587313148,0.07823520745290204,0.19426086399382894,0.47019292026120396,0.03429773006978766,0.09967254368021863,0.13972450797699715,0.20565461098511567,0.44896957801766435
