epoch,learning_rate,train_loss,train_price_mse_std,train_delta_mse_std,train_delta_mse_weighted,val_price_mse_std,val_price_rmse,val_price_mae,val_delta_rmse,val_delta_mae,val_diff_mse_weighted,val_balanced_score
1,0.001961598184938367,0.9479199796915054,0.9577860981225967,0.0017767659446690232,0.9084555506706238,0.8554252982139587,0.033142453836230136,0.025542125571519136,0.018076875913543178,0.010054963175207376,0.7993741631507874,0.827399730682373
2,0.0019615965877223217,0.7526883631944656,0.7545887380838394,0.0014572477084584534,0.7450867742300034,0.5680854320526123,0.02700849818283622,0.02025015279650688,0.016599148774688526,0.011673663044348359,0.674023374915123,0.6210544034838676
3,0.0019615939256975258,0.5512748807668686,0.48535777628421783,0.0015938737196847796,0.814943253993988,0.3732033371925354,0.02189103852657838,0.0177287720143795,0.018168338245470105,0.01291714864782989,0.8074836581945419,0.5903434976935387
4,0.0019615901988668982,0.4386178255081177,0.34765564650297165,0.0015694715839345008,0.8024664968252182,0.288499616086483,0.019247140771744716,0.01555326278321445,0.018094665746706567,0.011462298687547445,0.800948292016983,0.544723954051733
5,0.0019615854072345265,0.36385323852300644,0.26704058796167374,0.001469015987822786,0.751103863120079,0.22666394710540771,0.017060227575013603,0.01340487226843834,0.016414759575888095,0.011652539717033505,0.6591319888830185,0.4428979679942131
6,0.0019615795508056647,0.29121729731559753,0.1958039104938507,0.0013160070811863989,0.6728708148002625,0.15977177768945694,0.014323318597272853,0.011328476713970304,0.016088908449418175,0.01090309489518404,0.6332227289676666,0.3964972533285618
7,0.0019615726295867356,0.23943226784467697,0.14452289417386055,0.0012107825023122132,0.6190697550773621,0.12842190079391003,0.012841423230029578,0.00972074456512928,0.01615068310517636,0.012383723864331841,0.6380946785211563,0.38325828965753317
8,0.001961564643585329,0.22269093990325928,0.12268832698464394,0.0012178851757198572,0.6227013766765594,0.11851955391466618,0.012336404656911716,0.00896450411528349,0.015169431467107083,0.009927085135132074,0.5629138499498367,0.34071670193225145
9,0.001961555592810202,0.2114916630089283,0.11358335986733437,0.0011795972532127053,0.6031248420476913,0.1140726450830698,0.012102758783397349,0.008806515950709581,0.015218762829098837,0.009607750223949552,0.566581055521965,0.3403268503025174
10,0.0019615454772712805,0.20204713940620422,0.10928144305944443,0.001120893663028255,0.5731098800897598,0.11399348452687263,0.012098558349129663,0.008661091327667236,0.015032106930828166,0.010471965419128537,0.5527682155370712,0.33338085003197193
11,0.001961534296979657,0.19830001890659332,0.1095407735556364,0.001082221686374396,0.5533369928598404,0.1130574494600296,0.012048783512749033,0.00871321209706366,0.0147734677978357,0.00932674016803503,0.5339102298021317,0.3234838396310806
12,0.0019615220519475928,0.1915506273508072,0.10750507190823555,0.0010321447916794568,0.5277328193187714,0.10662199556827545,0.011700839086581984,0.00831790454685688,0.014695794821647776,0.009022369049489498,0.5283108204603195,0.3174664080142975
13,0.001961508742188515,0.1865716353058815,0.10371094010770321,0.0010131374729098752,0.5180144011974335,0.10434961877763271,0.011575481056355608,0.008131896145641804,0.014457837886731262,0.00979779358021915,0.511340320110321,0.3078449694439769
14,0.0019614943677170203,0.18330826982855797,0.10149010643362999,0.0009985989599954337,0.510580912232399,0.10262461379170418,0.011479404961564117,0.008079183520749211,0.014308624091433186,0.009753238409757614,0.5008400976657867,0.30173235572874546
15,0.0019614789285488715,0.180562112480402,0.10011732019484043,0.0009824837179621682,0.5023412555456161,0.10158587992191315,0.011421161885972076,0.008056523511186242,0.014197680707195355,0.00923337577842176,0.4931035712361336,0.29734472557902336
16,0.001961462424701,0.18107450753450394,0.09882339090108871,0.0009976171422749758,0.5100789368152618,0.10042586922645569,0.011355765586642022,0.008079173509031534,0.014284437621783691,0.010255632922053337,0.49914831668138504,0.29978709295392036
17,0.0019614448561915037,0.17913465946912766,0.0975516065955162,0.0009885968174785376,0.5054668560624123,0.10034728236496449,0.011351321748615485,0.008005327545106411,0.01399049856390672,0.009700832655653358,0.4788171797990799,0.2895822310820222
18,0.001961426223039649,0.1788569837808609,0.09593202732503414,0.0009985517826862633,0.510556772351265,0.10223346017301083,0.011457507376366685,0.008159287041053176,0.015321448774754184,0.008638447616249323,0.574252650141716,0.3382430551573634
19,0.0019614065252658696,0.18276529386639595,0.09654933959245682,0.001031941908877343,0.5276290774345398,0.09789194166660309,0.011211586791898188,0.007961227325722575,0.01427249431667379,0.008815900422632694,0.4983139932155609,0.298102967441082
20,0.001961385762891766,0.17069321125745773,0.09393289498984814,0.0009343575511593372,0.47773443907499313,0.09579892456531525,0.011091082154534465,0.007913271547295153,0.013796754356903909,0.008366078836843371,0.4656474217772484,0.2807231731712818
21,0.0019613639359401074,0.1700073815882206,0.09336073510348797,0.0009321269317297265,0.4765939563512802,0.09541350230574608,0.011068749046511171,0.007890651235356927,0.013803462025458001,0.009841925231739879,0.4661002978682518,0.28075690008699894
22,0.0019613410444348288,0.16533995419740677,0.0919964499771595,0.0008971570787252858,0.45871395617723465,0.0955817811191082,0.011078505294845074,0.00780714547727257,0.013436286949790799,0.009262972977012396,0.44163335859775543,0.2686075698584318
23,0.0019613170884010345,0.16192467510700226,0.0902062002569437,0.0008777644543442875,0.4487985670566559,0.09261949360370636,0.010905480851829106,0.007715397863648832,0.013287935043816392,0.008257687324658036,0.4319349229335785,0.2622772082686424
24,0.0019612920678649943,0.16544344276189804,0.09060350805521011,0.0009090663952520117,0.46480317413806915,0.09336967021226883,0.010949556417184215,0.007790497271344066,0.013133328337673614,0.008617376210168004,0.42194218933582306,0.25765592977404594
25,0.0019612659828541473,0.16043560579419136,0.08934181556105614,0.0008699650643393397,0.44481074810028076,0.09168615750968456,0.010850393816596401,0.007575483992695808,0.013432526139850715,0.009491814533248544,0.4413861781358719,0.2665361678227782
26,0.0019612388333970984,0.159118864685297,0.08789368718862534,0.00086841759912204,0.44401954114437103,0.08929531835019588,0.010707990103953548,0.007402516319416463,0.013573772077664064,0.007895844406448305,0.450717493891716,0.27000640612095594
27,0.0019612106195236205,0.15532683208584785,0.08629635162651539,0.0008438315271632746,0.4314487427473068,0.08786067925393581,0.010621623296928886,0.007416152395308018,0.013069147264754428,0.00911000557243824,0.4178282991051674,0.2528444891795516
28,0.001961181341264653,0.15412624925374985,0.08448166586458683,0.000846287643071264,0.4327045753598213,0.08666754513978958,0.010549256819645256,0.00729905697517097,0.012813048396199019,0.007725267088972032,0.4016134664416313,0.24414050579071045
29,0.0019611509986523037,0.15049076080322266,0.08321835100650787,0.0008206192869693041,0.4195803999900818,0.08630104921758175,0.0105269279624844,0.007258156198076904,0.012796885699757038,0.008960399311035872,0.4006008952856064,0.24345097225159407
30,0.0019611195917198466,0.15222573280334473,0.08254389092326164,0.000842862093122676,0.43095308542251587,0.08551092445850372,0.010478627862639164,0.007307756110094488,0.012466384993834867,0.008204445708543062,0.38017573207616806,0.2328433282673359
31,0.0019610871205017234,0.1655477210879326,0.08330486342310905,0.000967185158515349,0.4945191368460655,0.0870713759213686,0.010573805483083162,0.007345337886363268,0.012491049265078075,0.007676349021494389,0.38168154656887054,0.23437646124511957
32,0.0019610535850335432,0.15871114656329155,0.08288103342056274,0.0009036457922775298,0.46203160285949707,0.08695750683546066,0.010566888990184174,0.00719571381341666,0.014383229031696107,0.010923985624685884,0.5060764253139496,0.2965169660747051
33,0.0019610189853520813,0.15248779952526093,0.08195495046675205,0.0008500322583131492,0.43461916595697403,0.08143359608948231,0.010225755769782487,0.006949835689738393,0.01258723021364452,0.008499483577907085,0.38758206367492676,0.23450782988220453
34,0.0019609833214952804,0.14063743129372597,0.07925094291567802,0.0007553010800620541,0.38618335127830505,0.08118079602718353,0.010209871098709418,0.006942140869796276,0.012425452642297044,0.007510126102715731,0.37768329679965973,0.22943204641342163
35,0.0019609465935022503,0.13796480745077133,0.07766525819897652,0.0007415705331368372,0.3791629895567894,0.08122015744447708,0.01021234624113367,0.006884972797706723,0.012234399335551236,0.007907182443886995,0.3661581054329872,0.22368913143873215
36,0.001960908801413268,0.13560845330357552,0.07715179212391376,0.0007225445588119328,0.36943506449460983,0.07919289916753769,0.010084090531190968,0.006886524730361998,0.012158888714679492,0.007568956818431616,0.3616521805524826,0.22042253986001015
37,0.0019608699452697774,0.13323083892464638,0.07556985877454281,0.0007116697088349611,0.36387474834918976,0.07790234312415123,0.010001585815759216,0.006816282635554671,0.012771593484678266,0.007754668360576034,0.39901892840862274,0.23846063576638699
38,0.001960830025114388,0.1356753148138523,0.074128407984972,0.0007468511757906526,0.38186296075582504,0.07584558054804802,0.009868672790661167,0.006736831506714225,0.012729303254235123,0.00910756946541369,0.39638078957796097,0.2361131850630045
39,0.0019607890409908783,0.13480569049715996,0.07281791046261787,0.000748599341022782,0.3827567771077156,0.07509927079081535,0.009819999393623269,0.006652040872722864,0.01197318502681199,0.007655216497369111,0.35068947076797485,0.2128943707793951
40,0.001960746992944192,0.13181487284600735,0.07188165932893753,0.0007266765314852819,0.37154772132635117,0.07387937977910042,0.009739916272939755,0.006667777430266142,0.012345802272425816,0.008572270395234227,0.3728567212820053,0.22336805053055286
41,0.0019607038810204396,0.13034149445593357,0.070615004748106,0.0007221776031656191,0.3692474216222763,0.0741615891456604,0.009758501229894972,0.006666349130682647,0.013405520585562125,0.008415694115683436,0.4396131783723831,0.25688738375902176
42,0.001960659705266899,0.1500956416130066,0.07082290016114712,0.0009137279121205211,0.4671865925192833,0.07344453036785126,0.009711209980411216,0.006681083817966282,0.011916934145104838,0.00755591900087893,0.34740208834409714,0.2104233093559742
43,0.0019606144657320144,0.13862011954188347,0.0704200528562069,0.0008046598668443039,0.41142038255929947,0.07307102158665657,0.009686484726029638,0.0065906132804229856,0.012414146019846034,0.00870222132652998,0.3769962340593338,0.22503362782299519
44,0.0019605681624653964,0.13227232173085213,0.07050737366080284,0.0007419013127218932,0.3793321028351784,0.07337597385048866,0.009706676531720516,0.006589236087165773,0.011925747927345205,0.007798585342243314,0.3479161411523819,0.21064605750143528
45,0.001960520795517822,0.12746711261570454,0.0701073706150055,0.0006980402686167508,0.35690608620643616,0.07251492142677307,0.009649555253554015,0.0065314905950799584,0.012080076584048778,0.007475970545783639,0.35697903484106064,0.21474697813391685
46,0.0019604723649412348,0.12539543583989143,0.06954027898609638,0.0006822177092544734,0.34881604462862015,0.07216588407754898,0.009626303990436548,0.006627883878536522,0.011910257980306167,0.007677975809201598,0.3470129296183586,0.2095894068479538
47,0.0019604228707887452,0.12598158419132233,0.07005434483289719,0.0006839279958512634,0.3496905118227005,0.07174466922879219,0.00959816986461878,0.006586088333278894,0.012520455630447114,0.007594935246743262,0.3834807872772217,0.22761272825300694
48,0.00196037231311463,0.12823025323450565,0.06897315196692944,0.0007143762923078611,0.3652586489915848,0.07111538201570511,0.009555983494350915,0.006530096521601081,0.01221470993646782,0.008414176292717457,0.3649804964661598,0.21804793924093246
49,0.0019603206919743305,0.12698015570640564,0.06819840706884861,0.000708212552126497,0.36210715025663376,0.07010954432189465,0.009488163910592871,0.00644693779759109,0.011993847570791876,0.007327532861381769,0.3519009053707123,0.21100522484630346
50,0.0019602680074244563,0.12401498295366764,0.06737898290157318,0.0006856265099486336,0.35055895149707794,0.06917112693190575,0.009424450664143044,0.0064691477455198765,0.011904564420814716,0.007902454352006316,0.34668124467134476,0.20792618580162525
51,0.001960214259522783,0.1270008645951748,0.0665383255109191,0.0007214023353299126,0.36885102838277817,0.06992996484041214,0.009476004778626788,0.006436763796955347,0.012688922735502099,0.0077328894985839725,0.39386994391679764,0.2318999543786049
52,0.0019601594483282516,0.12509283609688282,0.06663686037063599,0.0007019726908765733,0.3589167147874832,0.06816954538226128,0.009355969958907126,0.006393648451194167,0.01175946019579591,0.007642272277735174,0.33828138560056686,0.20322546549141407
53,0.0019601035739009688,0.1235373467206955,0.06546537764370441,0.0006959263409953564,0.3558252304792404,0.06800971180200577,0.009344995307519983,0.006391465198248625,0.011747129357211207,0.007358129718340933,0.3375723287463188,0.2027910202741623
54,0.0019600466363022084,0.13149411603808403,0.06562500912696123,0.0007724870956735685,0.39497052878141403,0.06726427376270294,0.009293640032606052,0.006358902668580413,0.012680206056912205,0.008810912491753697,0.3933289796113968,0.23029662668704987
55,0.001959988635594409,0.12397195398807526,0.06543045490980148,0.0007004495710134506,0.35813794285058975,0.06690346449613571,0.009268680267581758,0.0062386494828388095,0.011872487024816747,0.007912238012067974,0.3448154628276825,0.2058594636619091
56,0.0019599295718411756,0.12788602337241173,0.06574804149568081,0.000736240908736363,0.3764379546046257,0.06932330131530762,0.009434811496876054,0.006375253084115684,0.013212240325626621,0.008051810320466757,0.4270279183983803,0.24817560985684395
57,0.001959869445107279,0.1411940883845091,0.06652472354471684,0.0008603048627264798,0.43987151235342026,0.06668808124959469,0.009253749325151063,0.00612918590195477,0.013613202976134497,0.01000241469591856,0.45333992689847946,0.2600140040740371
58,0.001959808255458655,0.13671383820474148,0.06533136405050755,0.0008258282323367894,0.42224372178316116,0.06692257523536682,0.00927000437781236,0.006191117921844125,0.012735985687608219,0.008859643712639809,0.3967970684170723,0.23185982182621956
59,0.001959746002962406,0.1318932231515646,0.06523013114929199,0.000779479174525477,0.3985455706715584,0.06715265661478043,0.009285925888385865,0.0061625028029084206,0.011734669149640062,0.0072512386832386255,0.3368565961718559,0.20200462639331818
60,0.0019596826876868,0.12787313386797905,0.06534971203655005,0.0007392310653813183,0.37796682119369507,0.06807643920183182,0.009349578545284015,0.006308023468591273,0.012398977367212839,0.007096407702192664,0.37607551366090775,0.22207597643136978
61,0.0019596183097012687,0.12527108192443848,0.06489241681993008,0.0007173630147008225,0.3667857423424721,0.06746169738471508,0.009307268780467328,0.006124490173533559,0.013289946083913115,0.007878932054154575,0.4320656880736351,0.2497636927291751
62,0.0019595528690764114,0.12568816542625427,0.06425837054848671,0.0007264019805006683,0.3714073374867439,0.06738649308681488,0.009302079542952583,0.006206859019584954,0.01305150099846679,0.007651098538190126,0.41670073568820953,0.2420436143875122
63,0.0019594863658839914,0.1280253678560257,0.06405657902359962,0.0007508362323278561,0.3839005008339882,0.0663252267986536,0.009228539758542209,0.006115379044786096,0.012121788058686139,0.007015586132183671,0.35944853723049164,0.21288688201457262
64,0.001959418800196938,0.13013138063251972,0.06351133622229099,0.000775696593336761,0.3966115415096283,0.06494980584830046,0.009132349700189281,0.006042007589712739,0.01169099087323582,0.0074065650114789605,0.3343535587191582,0.19965168228372931
65,0.0019593501720893444,0.13140632584691048,0.06350335944443941,0.0007882267382228747,0.40301816910505295,0.0651882030069828,0.009149094721896707,0.0060268850065767765,0.011746116159808678,0.007493815268389881,0.33751410245895386,0.20135115273296833
66,0.0019592804816364706,0.1263553984463215,0.06339439749717712,0.0007396859582513571,0.37819940596818924,0.0650910222902894,0.009142272380606331,0.005889826104976237,0.011974472951683567,0.007903979159891605,0.3507649078965187,0.20792796509340405
67,0.0019592097289147406,0.12704391591250896,0.06351382378488779,0.0007454846636392176,0.3811642602086067,0.06555764377117157,0.009174983048145492,0.0060826841508969665,0.012007569368311698,0.008000040659680963,0.35270655155181885,0.2091320976614952
68,0.001959137914001743,0.1261119544506073,0.06287223286926746,0.0007413903076667339,0.37907083332538605,0.0649239532649517,0.00913053229263775,0.005869556334801018,0.01235874431952027,0.008430263493210077,0.3736388459801674,0.21928139962255955
69,0.001959065036976232,0.12148506566882133,0.0630426611751318,0.0006948104564798996,0.3552546724677086,0.06415528431534767,0.009076320735725424,0.0060089449398219585,0.011977368833535075,0.007903617806732655,0.35093460977077484,0.20754494704306126
70,0.001958991097918126,0.12035826966166496,0.06193907093256712,0.0006924250774318352,0.35403505712747574,0.0634211478754878,0.009024240463015082,0.005801231251098216,0.012768337527583763,0.008976331213489175,0.39881550520658493,0.23111832654103637
71,0.001958916096908509,0.12245474383234978,0.06144841015338898,0.0007167651638155803,0.3664800599217415,0.06292513012886047,0.008988882045763305,0.005904469988308847,0.012717235387818984,0.008854832965880632,0.39562956243753433,0.2292773462831974
72,0.0019588400340296275,0.11864106170833111,0.06132129952311516,0.0006804654258303344,0.34792010486125946,0.06267035286873579,0.008970665866783311,0.00590330152772367,0.012197647809578147,0.008268416859209538,0.3639615625143051,0.21331595769152045
73,0.0019587629093648948,0.11691483855247498,0.060833314433693886,0.0006674022297374904,0.34124092012643814,0.06203456036746502,0.00892504606539214,0.005785891669802368,0.012068260247804956,0.008015230530872941,0.35628101229667664,0.20915778633207083
74,0.0019586847229988874,0.11576802842319012,0.06037296261638403,0.000659788929624483,0.3373482897877693,0.06303681712597609,0.00899685573937919,0.00607541180215776,0.011600710300140944,0.0069379707565531135,0.329209603369236,0.19612321024760604
75,0.0019586054750173458,0.11314226686954498,0.060269350185990334,0.0006349220348056406,0.3246339112520218,0.06228930875658989,0.008943352927777119,0.005880987970158458,0.011591996169476032,0.00698645890224725,0.3287152051925659,0.1955022569745779
76,0.0019585251655071753,0.11335054412484169,0.05990105681121349,0.0006398401164915413,0.3271484971046448,0.06216112710535526,0.008934146108981033,0.005889888270758092,0.011981619799894365,0.007211049785837531,0.3511837422847748,0.20667243469506502
77,0.001958443794556445,0.11655410379171371,0.05975188780575991,0.0006723348196828738,0.34376295655965805,0.06154116149991751,0.008889481863592978,0.005833389470353723,0.011579329913811285,0.0071588545106351376,0.32799723744392395,0.19476919947192073
78,0.001958361362254389,0.11455148085951805,0.05965117923915386,0.0006535389693453908,0.3341526836156845,0.06078764237463474,0.00883489250091059,0.0057678824523463845,0.011799541118184195,0.00770546670537442,0.34059131890535355,0.20068948063999414
79,0.001958277868691403,0.11587280035018921,0.05917019210755825,0.0006702230894006789,0.34268322587013245,0.060966298915445805,0.008847865900275228,0.005742188892327249,0.011639530606777202,0.007347741862758994,0.33141662180423737,0.19619146035984159
80,0.001958193313959049,0.11475849151611328,0.05981330946087837,0.0006542949558934197,0.3345392197370529,0.06250399071723223,0.00895875155559562,0.005797381047159433,0.011706008323388027,0.006911130389198661,0.3352131024003029,0.19885854655876756
81,0.001958107698150051,0.11585148423910141,0.060159970074892044,0.0006622713844990358,0.3386175408959389,0.06177497934550047,0.008906353259056613,0.005896379589103162,0.011929084124565573,0.007488603470847011,0.3481108397245407,0.2049429095350206
82,0.001958021021358298,0.11460235342383385,0.05915147811174393,0.0006579457258339971,0.33640584349632263,0.060845157131552696,0.008839071018632565,0.005865849438123405,0.011622524010674483,0.007088244310580194,0.33044886589050293,0.1956470115110278
83,0.0019579332836788406,0.11214268580079079,0.05898068938404322,0.0006352286145556718,0.3247906565666199,0.061828759498894215,0.008910229205178987,0.0061602749628946185,0.01157930320859108,0.006996121141128242,0.3279957249760628,0.1949122422374785
84,0.001957844485207895,0.11152398586273193,0.0590509632602334,0.0006286285788519308,0.32141606509685516,0.060531881637871265,0.008816286770676425,0.0058688512071967125,0.011540275418760054,0.0072393338195979595,0.3257884681224823,0.19316017488017678
85,0.001957754626042839,0.11142922379076481,0.058927581645548344,0.0006286670977715403,0.321435771882534,0.06087894830852747,0.008841525234067463,0.0057861123932525516,0.0115539637747952,0.007006627274677157,0.32656174898147583,0.19372034864500165
86,0.0019576637062822142,0.11129134707152843,0.058567493222653866,0.0006301358953351155,0.32218675315380096,0.06109869387000799,0.008857467579388543,0.005892848363146186,0.011501717916138495,0.007062875083647668,0.32361507415771484,0.19235688401386142
87,0.001957571726025726,0.11030308157205582,0.05825871042907238,0.0006228872662177309,0.31848055124282837,0.05997483804821968,0.008775627008975394,0.00567135086748749,0.011668494711630822,0.006909374031238258,0.3330680653452873,0.1965214516967535
88,0.001957478685374241,0.112966014072299,0.05844541918486357,0.0006474675465142354,0.331048384308815,0.0598216550424695,0.008764412871465264,0.00564476742874831,0.012012620848173405,0.008075083140283823,0.3530033901333809,0.2064125225879252
89,0.0019573845844297905,0.11257687956094742,0.05806755926460028,0.0006466182676376775,0.3306141495704651,0.06020522955805063,0.008792466756049779,0.005800425307825208,0.012115393387281626,0.008176147472113371,0.3590693548321724,0.2096372921951115
90,0.001957289423295567,0.1158064715564251,0.05831870250403881,0.0006762358243577182,0.34575752913951874,0.061760567128658295,0.00890531425480969,0.0057693785056471825,0.012197260373443118,0.006954465294256806,0.36393842101097107,0.21284949406981468
