scenario_id,engine,n_paths,replication,price_K,delta,reference_price_K,reference_delta,abs_price_error,abs_delta_error,time_seconds,S_t_K,A_t_K,C_t,tau,r,sigma,n_fix_future
benchmark_0000000,mc,256,0,0.06756489268377162,0.08306063969048491,0.06786868288009223,0.0833333206786687,0.00030379019632061077,0.00027268098818378217,0.0002480000002833549,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,1,0.06755404189429148,0.08305090006085283,0.06786868288009223,0.0833333206786687,0.0003146409858007515,0.0002824206178158595,0.00027890000001207227,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,2,0.06773741458896795,0.0832154947324252,0.06786868288009223,0.0833333206786687,0.0001312682911242813,0.0001178259462434883,0.0002856999999494292,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,3,0.06774350165528298,0.08322095846126842,0.06786868288009223,0.0833333206786687,0.00012518122480925653,0.00011236221740026919,0.00024620000021968735,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,4,0.06785225182623436,0.08331857222379052,0.06786868288009223,0.0833333206786687,1.64310538578738e-05,1.474845487817178e-05,0.00020990000029996736,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,5,0.06772033070479042,0.08320016029939885,0.06786868288009223,0.0833333206786687,0.0001483521753018191,0.00013316037926984492,0.00023069999951985665,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,6,0.06773978735773188,0.08321762452113833,0.06786868288009223,0.0833333206786687,0.0001288955223603533,0.00011569615753036222,0.00024299999950017082,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,7,0.06783636649782135,0.08330431361010993,0.06786868288009223,0.0833333206786687,3.231638227088607e-05,2.9007068558767335e-05,0.0002310999998371699,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,8,0.06805248768635892,0.08349830321205112,0.06786868288009223,0.0833333206786687,0.00018380480626668805,0.00016498253338242952,0.00024389999998675194,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,9,0.06768248979545888,0.08316619443520945,0.06786868288009223,0.0833333206786687,0.00018619308463335704,0.00016712624345924243,0.00020500000027823262,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,10,0.0678704063423142,0.08333486765216377,0.06786868288009223,0.0833333206786687,1.7234622219641782e-06,1.5469734950812608e-06,0.00024190000021917513,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,11,0.06794241809589921,0.08339950514332128,0.06786868288009223,0.0833333206786687,7.373521580697484e-05,6.618446465259109e-05,0.00019939999947382603,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,12,0.06808654195904562,0.08352887020479992,0.06786868288009223,0.0833333206786687,0.0002178590789533863,0.00019554952613122512,0.00013639999997394625,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,13,0.06770646368157301,0.08318771330920666,0.06786868288009223,0.0833333206786687,0.00016221919851922006,0.00014560736946203634,0.0001339999998890562,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,14,0.0682179084296263,0.08364678427657053,0.06786868288009223,0.0833333206786687,0.0003492255495340657,0.0003134635979018391,0.00012600000081874896,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,15,0.0679040622933984,0.08336507711287405,0.06786868288009223,0.0833333206786687,3.5379413306169116e-05,3.175643420536001e-05,0.00012289999995118706,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,16,0.06789737549175198,0.08335907506375326,0.06786868288009223,0.0833333206786687,2.8692611659747458e-05,2.575438508456429e-05,0.0001222000000780099,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,17,0.06788486742290643,0.08334784786612018,0.06786868288009223,0.0833333206786687,1.6184542814198788e-05,1.452718745148518e-05,0.00012059999971825164,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,18,0.0674270130885729,0.08293687946146987,0.06786868288009223,0.0833333206786687,0.00044166979151932795,0.00039644121719882575,0.0001253000000360771,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000000,mc,256,19,0.06808249703774857,0.08352523949798396,0.06786868288009223,0.0833333206786687,0.00021381415765633904,0.00019191881931526766,0.00012179999976069666,1.1140864581137406,1.0636046227500104,0.9749709041875096,0.05575177245773375,0.0410774864256382,0.16470964029431345,1
benchmark_0000001,mc,256,0,0.015593246703179544,0.18573728876992024,0.01882783301971635,0.19311465839612865,0.003234586316536805,0.007377369626208413,0.00020310000036261044,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,1,0.023862078722172945,0.215864831308116,0.01882783301971635,0.19311465839612865,0.005034245702456596,0.02275017291198736,0.0001770999997461331,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,2,0.028512854325083006,0.2754494019835438,0.01882783301971635,0.19311465839612865,0.009685021305366658,0.08233474358741513,0.0001731000002109795,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,3,0.01458943532920426,0.17470022693539392,0.01882783301971635,0.19311465839612865,0.004238397690512088,0.018414431460734737,0.00017209999987244373,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,4,0.022470603481890873,0.21407505996029347,0.01882783301971635,0.19311465839612865,0.0036427704621745244,0.020960401564164816,0.00017279999974562088,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,5,0.012503150008552458,0.1573978839673119,0.01882783301971635,0.19311465839612865,0.00632468301116389,0.03571677442881674,0.00016929999947024044,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,6,0.016741911945407997,0.15310403051260696,0.01882783301971635,0.19311465839612865,0.002085921074308352,0.04001062788352169,0.00017110000044340268,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,7,0.01642536663151706,0.1916805545086892,0.01882783301971635,0.19311465839612865,0.0024024663881992876,0.0014341038874394474,0.0001739999997880659,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,8,0.01516071137748531,0.17056206547436412,0.01882783301971635,0.19311465839612865,0.003667121642231038,0.022552592921764536,0.00017449999995733378,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,9,0.021028713886164015,0.16349084702588412,0.01882783301971635,0.19311465839612865,0.002200880866447666,0.02962381137024453,0.00017389999993611127,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,10,0.012966248504618971,0.1774853785020375,0.01882783301971635,0.19311465839612865,0.0058615845150973775,0.015629279894091158,0.00017490000027464703,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,11,0.0184653706859962,0.17481265102088722,0.01882783301971635,0.19311465839612865,0.00036246233372014963,0.01830200737524143,0.0001717000004646252,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
benchmark_0000001,mc,256,12,0.0163132510406618,0.23539298388797247,0.01882783301971635,0.19311465839612865,0.0025145819790545476,0.04227832549184382,0.00017050000042218016,0.7774597810915816,,0.0,0.9937191661912947,0.030793119817972184,0.39424676783382895,12
