t,actual,rw_pred,ar1_pred,rw_error,ar1_error,rw_abs_error,ar1_abs_error,rw_sq_error,ar1_sq_error,ar1_phi
45,0.9242589015233319,0.9082585601768908,0.9099496531310077,-0.016000341346441127,-0.01430924839232417,0.016000341346441127,0.01430924839232417,0.00025601092320263346,0.00020475458955323183,0.9436041055520519
46,0.9162907318741551,0.9242589015233319,0.9254433207707403,0.007968169649176793,0.009152588896585212,0.007968169649176793,0.009152588896585212,6.349172755806221e-05,8.376988350989491e-05,0.9414730679547162
47,0.9360933591703348,0.9162907318741551,0.9177022448111795,-0.019802627296179653,-0.018391114359155303,0.019802627296179653,0.018391114359155303,0.0003921440478313995,0.0003382330873715284,0.9423963966393976
48,0.959350221334602,0.9360933591703348,0.936806084769758,-0.023256862164267256,-0.022544136564843997,0.023256862164267256,0.022544136564843997,0.0005408816377277258,0.0005082380934543361,0.9401865220600025
49,0.9202827531436925,0.959350221334602,0.9591403636329496,0.03906746819090956,0.03885761048925718,0.03906746819090956,0.03885761048925718,0.0015262670708477302,0.0015099138929348295,0.9387660294957353
50,0.9745596399981308,0.9202827531436925,0.9216755347569664,-0.05427688685443832,-0.05288410524116438,0.05427688685443832,0.05288410524116438,0.0029459804466094993,0.00279672858715855,0.9386772664279228
51,0.9895411936137477,0.9745596399981308,0.9735885622786947,-0.014981553615616927,-0.01595263133505298,0.014981553615616927,0.01595263133505298,0.00022444694873760462,0.00025448644651211423,0.9331294470122429
52,0.9745596399981308,0.9895411936137477,0.987904168860246,0.014981553615616927,0.013344528862115235,0.014981553615616927,0.013344528862115235,0.00022444694873760462,0.00017807645055182653,0.9338635782434191
53,0.9820784724121582,0.9745596399981308,0.9736386247698281,-0.007518832414027399,-0.008439847642330078,0.007518832414027399,0.008439847642330078,5.653284087022908e-05,7.123102822574459e-05,0.9327161378303657
54,0.9969486348916096,0.9820784724121582,0.9808192443899316,-0.014870162479451388,-0.016129390501677943,0.014870162479451388,0.016129390501677943,0.00022112173216528384,0.00026015723795561865,0.9330819638693217
55,0.9858167945227654,0.9969486348916096,0.9950311485276497,0.011131840368844181,0.00921435400488435,0.011131840368844181,0.00921435400488435,0.00012391786999742897,8.490431972732827e-05,0.93409835541393
56,1.0043016091968684,0.9858167945227654,0.9844412001933294,-0.01848481467410301,-0.019860409003539026,0.01848481467410301,0.019860409003539026,0.00034168837353593405,0.000394435845787854,0.9331575545697818
57,0.9932517730102834,1.0043016091968684,1.0021057543851224,0.01104983618658495,0.008853981374838948,0.01104983618658495,0.008853981374838948,0.00012209887975036222,7.8392986185995e-05,0.9345447488037166
