candidate_rank,screen_trial,architecture_signature,model_type,seed,max_epochs,selected_epoch,parameter_count,training_seconds,lambda_delta,scaler,params,val_price_mse_std,val_price_mae,val_price_rmse,val_delta_mae,val_delta_rmse,val_diff_mse_weighted,val_balanced_score
4,44,"[""plain"", 128, ""silu"", ""depth"", 3]",mlp,3701,3000,944,33921,560.7499550000066,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0027726767061636588, 'scheduler': 'onecycle', 'depth': 3, 'weight_decay': 9.507415391217449e-07}",0.01606580475345254,0.006700166966766119,0.012617553362952429,0.05000322684645653,0.07771740924735542,0.03686283342540264,0.02646431908942759
4,44,"[""plain"", 128, ""silu"", ""depth"", 3]",mlp,4701,3000,1018,33921,558.832768399996,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0027726767061636588, 'scheduler': 'onecycle', 'depth': 3, 'weight_decay': 9.507415391217449e-07}",0.016087076626718044,0.006788259372115135,0.012625904291848084,0.049319565296173096,0.07679548891937446,0.03599345497786999,0.026040265802294016
5,4,"[""residual"", 128, ""silu"", ""n_blocks"", 3]",mlp,2701,3000,742,99969,637.6835358999961,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0019615987173439097, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 6.634059887871314e-07}",0.003085196833126247,0.0021001871209591627,0.005529238789531695,0.02302182000130415,0.054061903645349164,0.01783753326162696,0.010461365047376603
5,4,"[""residual"", 128, ""silu"", ""n_blocks"", 3]",mlp,3701,3000,793,99969,637.9376417000021,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0019615987173439097, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 6.634059887871314e-07}",0.0031143686501309276,0.0019707304891198874,0.005555317757579078,0.023499835282564163,0.05528315186645579,0.018652526661753654,0.010883447655942291
5,4,"[""residual"", 128, ""silu"", ""n_blocks"", 3]",mlp,4701,3000,841,99969,636.511081699995,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 128, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0019615987173439097, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 6.634059887871314e-07}",0.0028570572612807155,0.0017287064110860229,0.005320879000686734,0.020972684025764465,0.0581908500291681,0.02066623978316784,0.011761648522224277
6,9,"[""plain"", 192, ""silu"", ""depth"", 3]",mlp,2701,3000,1149,75457,572.1084848000028,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.002274632637276463, 'scheduler': 'constant', 'depth': 3, 'weight_decay': 0.0}",0.01610043365508318,0.006793652195483446,0.012631144112072834,0.052189916372299194,0.08220501077017453,0.041242850944399834,0.028671642299741507
6,9,"[""plain"", 192, ""silu"", ""depth"", 3]",mlp,3701,3000,580,75457,573.9809453999915,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.002274632637276463, 'scheduler': 'constant', 'depth': 3, 'weight_decay': 0.0}",0.016080889850854874,0.006813475396484137,0.012623475647227095,0.049621473997831345,0.07691616087938277,0.0361066572368145,0.026093773543834686
6,9,"[""plain"", 192, ""silu"", ""depth"", 3]",mlp,4701,3000,485,75457,574.8296505999897,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.002274632637276463, 'scheduler': 'constant', 'depth': 3, 'weight_decay': 0.0}",0.01608849549666047,0.006784623954445124,0.012626460094149335,0.049963340163230896,0.07748811222528544,0.03664563596248627,0.02636706572957337
7,60,"[""plain"", 192, ""silu"", ""depth"", 4]",mlp,2701,3000,1549,112513,604.8439536000078,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0013213087208607294, 'scheduler': 'cosine', 'depth': 4, 'weight_decay': 0.0}",0.012805415783077478,0.0055765940342098475,0.011264729652992519,0.0730980634689331,0.13052539587957712,0.10397816449403763,0.05839179013855755
7,60,"[""plain"", 192, ""silu"", ""depth"", 4]",mlp,3701,3000,1029,112513,601.9053555000137,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0013213087208607294, 'scheduler': 'cosine', 'depth': 4, 'weight_decay': 0.0}",0.015952919609844685,0.006715468131005764,0.012573147282658879,0.04815879091620445,0.07591767566448664,0.03517530858516693,0.025564114097505808
7,60,"[""plain"", 192, ""silu"", ""depth"", 4]",mlp,4701,3000,1022,112513,600.4362140000012,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'plain', 'width': 192, 'activation': 'silu', 'optimizer': 'adam', 'learning_rate': 0.0013213087208607294, 'scheduler': 'cosine', 'depth': 4, 'weight_decay': 0.0}",0.01602186542004347,0.006839598994702101,0.012600287785894487,0.04841700196266174,0.07545613749423503,0.03474891372025013,0.0253853895701468
8,24,"[""residual"", 96, ""silu"", ""n_blocks"", 3]",mlp,2701,3000,2990,56545,618.5537641999981,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0005445251909716221, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 8.119645881382901e-05}",0.0053289111237972975,0.0033938564592972398,0.007266798917783824,0.039685189723968506,0.0674902277485432,0.02779929991811514,0.016564105520956218
8,24,"[""residual"", 96, ""silu"", ""n_blocks"", 3]",mlp,3701,3000,2987,56545,615.9187699999893,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0005445251909716221, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 8.119645881382901e-05}",0.0027788053266704082,0.002138179261237383,0.005247506245369916,0.028989207930862904,0.05321397841866636,0.017282380256801844,0.010030592791736126
8,24,"[""residual"", 96, ""silu"", ""n_blocks"", 3]",mlp,4701,3000,2996,56545,613.5270987999975,1.0,"{'x_mean': [0.9846317788635048, 0.41152314815188706, 0.5422620454572069, 0.039914570351916104, 0.24570299257854344], 'x_std': [0.1915210094038246, 0.2843420802833724, 0.2738992065719988, 0.023081951283677203, 0.08615322927123506], 'y_mean': 0.07828641576363823, 'y_std': 0.09954602156965461, 'delta_rms_std': 0.7787829726262436, 'derivative_weight': 1.2840547818190726}","{'backbone': 'residual', 'width': 96, 'activation': 'silu', 'optimizer': 'adamw', 'learning_rate': 0.0005445251909716221, 'scheduler': 'cosine', 'n_blocks': 3, 'weight_decay': 8.119645881382901e-05}",0.005083094350993633,0.003249204019084573,0.007097215557578559,0.04019932821393013,0.06851301808383635,0.028648261912167072,0.016865678131580353
