lambda_delta,n_runs,balanced_mean,balanced_std,price_mse_mean,price_rmse_mean,price_mae_mean,delta_rmse_mean,delta_mae_mean,diff_mse_mean,selected_epoch_mean
0.25,3,0.16184600039074817,0.006650069201792623,0.05057877488434315,0.008037275121745359,0.0049089842941612005,0.01064112891362711,0.006093024741858244,0.2731132258971532,258.0
0.5,3,0.1646101570998629,0.006226299101193267,0.05136941807965437,0.008099808979970313,0.0050029448078324395,0.010733403598458757,0.005891597208877404,0.2778508961200714,283.6666666666667
2.0,3,0.17220775100092092,0.003792390989940407,0.054294408609469734,0.008327197594972663,0.005292987839008371,0.010968895848832871,0.0060971529843906564,0.29012109339237213,337.6666666666667
1.0,3,0.1726671438664198,0.009072587905135683,0.052724397430817284,0.008205953059137539,0.005104375149433811,0.011013046480355343,0.006038916918138663,0.2926098903020223,310.6666666666667
4.0,3,0.2195494476084908,0.06475922673639403,0.05751881065467993,0.008570625992911411,0.005430299478272597,0.012468588233702282,0.006799134037767847,0.38158008456230164,456.3333333333333
