candidate_rank,screen_trial,architecture_signature,n_runs,price_mse_mean,price_mse_std,price_mae_mean,delta_mae_mean,params_count,training_seconds_mean
5,4,"[""residual"", 128, ""silu"", ""n_blocks"", 3]",3,0.0030188742481792965,0.00014089464739137653,0.0019332080070550244,0.022498113103210926,99969,637.3774197666644
8,24,"[""residual"", 96, ""silu"", ""n_blocks"", 3]",3,0.004396936933820446,0.0014067227498662897,0.0029270799132063985,0.03629124195625385,56545,615.9998776666616
3,64,"[""plain"", 128, ""silu"", ""depth"", 4]",3,0.006000883877277374,0.0045733348974544745,0.002831008479309579,0.04789430803308884,50433,577.5348996000054
2,27,"[""residual"", 96, ""softplus"", ""n_blocks"", 3]",3,0.010666410710352162,0.0053570330142389015,0.004716758267022669,0.04297125370552143,56545,619.2329979333348
1,1,"[""plain"", 128, ""gelu"", ""depth"", 5]",3,0.012125167762860656,0.006968509031949181,0.005314019974321127,0.043774052833517395,66945,605.8369360333357
7,60,"[""plain"", 192, ""silu"", ""depth"", 4]",3,0.014926733604321877,0.001837438531007991,0.006377220386639237,0.0565579521159331,112513,602.3951743666743
4,44,"[""plain"", 128, ""silu"", ""depth"", 3]",3,0.016084798146039248,1.7962860521722342e-05,0.006762134687354167,0.050314232086141907,33921,560.0303997333345
6,9,"[""plain"", 192, ""silu"", ""depth"", 3]",3,0.016089939667532843,9.851613728726866e-06,0.006797250515470902,0.05059157684445381,75457,573.6396935999946
