block_id,n_states,mean_abs_diff,median_abs_diff,p95_abs_diff,max_abs_diff
1,1536,2.989478989455921e-06,2.176973556856877e-06,8.65524124898931e-06,1.84814391204699e-05
2,1533,3.175691727608549e-06,2.3432525632569035e-06,8.826989917776186e-06,1.7103689992834653e-05
3,1535,3.2806612445710584e-06,2.4303238038460295e-06,9.577300254519532e-06,1.9495913826798536e-05
4,1536,3.216595764755288e-06,2.359531202884152e-06,9.209009458895079e-06,2.3867697884332253e-05
