block_id,shock_size,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs,rmse_improvement_vs_nohedge_pct,mae_improvement_vs_nohedge_pct,physical_seed,valid_local_states
1,0.005,dml_ensemble,3072,-1.7918708349339528e-08,5.054992416029139e-07,3.9111681033182324e-07,3.168688552436775e-07,9.417633621022702e-07,1.3978271271587348e-06,3.518655070880389e-06,99.26415398583728,99.35560195971877,9101,1536
1,0.005,mlp_ensemble,3072,-1.791870834933868e-08,3.6159271156499747e-06,2.3356365599637967e-06,1.5702179156713944e-06,6.841403303832223e-06,1.3552794293222188e-05,2.7825310719083898e-05,94.73636093475287,96.15184113213408,9101,1536
1,0.005,no_hedge,3072,-1.7918708350009346e-08,6.869633481375887e-05,6.069490995986554e-05,6.04115680305729e-05,0.00011264818313614523,0.0001164056785809986,0.00012015127781041593,0.0,0.0,9101,1536
1,0.005,oracle_rqmc,3072,-1.7918708349341272e-08,9.308661159832198e-08,7.01268275137635e-08,5.1660034136070276e-08,2.0591150537406246e-07,2.207059412200082e-07,2.6115689362508527e-07,99.8644955195198,99.88446011772628,9101,1536
1,0.01,dml_ensemble,3072,-7.515982138081513e-08,1.076845521613902e-06,8.288294232381268e-07,6.726847974606904e-07,2.0751967210649208e-06,2.995265087595438e-06,7.293784713951912e-06,99.2161979388892,99.31720805004025,9101,1536
1,0.01,mlp_ensemble,3072,-7.515982138081514e-08,7.239154259661627e-06,4.688710366074692e-06,3.1625366873753487e-06,1.3954720525669867e-05,2.7185749275620256e-05,5.60301511785461e-05,94.73084679693153,96.13742755277546,9101,1536
1,0.01,no_hedge,3072,-7.515982138081261e-08,0.00013738743173088893,0.00012138828281250192,0.00012072323742118914,0.00022542196423261417,0.00023310726632964782,0.00024068208536121016,0.0,0.0,9101,1536
1,0.01,oracle_rqmc,3072,-7.515982138081513e-08,3.6578556338789397e-07,2.735834526978926e-07,1.9519624629117053e-07,8.23125404279164e-07,8.814048531823396e-07,1.0133284470920865e-06,99.73375616766432,99.77462120201463,9101,1536
1,0.02,dml_ensemble,3072,-2.867814813408355e-07,2.45263157543135e-06,1.8883121132182018e-06,1.4808490296259804e-06,4.93292995972999e-06,6.505896969723417e-06,1.5621730014569768e-05,99.10760977443188,99.22238079386003,9101,1536
1,0.02,mlp_ensemble,3072,-2.86781481340835e-07,1.4516362995701304e-05,9.404203248149126e-06,6.271832353537397e-06,2.817256210807296e-05,5.45142157847199e-05,0.00011395689465253529,94.71821998137476,96.12728795572806,9101,1536
1,0.02,no_hedge,3072,-2.8678148134084167e-07,0.00027483846249771885,0.00024283249414473645,0.0002415904277393386,0.0004510283719369373,0.0004674505784031276,0.0004832607630178634,0.0,0.0,9101,1536
1,0.02,oracle_rqmc,3072,-2.867814813408356e-07,1.4406754670134995e-06,1.0698857089470997e-06,7.577700086519632e-07,3.2661071195832064e-06,3.5121041574060764e-06,3.6500250614207737e-06,99.47581009807699,99.5594141085956,9101,1536
2,0.005,dml_ensemble,3066,-1.100545918746042e-08,4.951617597252755e-07,3.8581311447718914e-07,3.1360776754061175e-07,9.753295117607976e-07,1.3525465400479997e-06,2.256358102725831e-06,99.26035897725495,99.34439758026312,9201,1533
2,0.005,mlp_ensemble,3066,-1.1005459187456755e-08,3.200472249317281e-06,2.1742130804257576e-06,1.4715694897674298e-06,6.592102546339303e-06,1.1144956862602337e-05,2.31099001507436e-05,95.21933889025365,96.30541497148876,9201,1533
2,0.005,no_hedge,3066,-1.1005459188118612e-08,6.6946227223521e-05,5.884864101508771e-05,6.036590643998009e-05,0.00011090001174207144,0.0001160902401556807,0.00011813408711950496,0.0,0.0,9201,1533
2,0.005,oracle_rqmc,3066,-1.1005459187461976e-08,8.629827810866072e-08,6.564876353731888e-08,4.937996893074529e-08,1.9248732754469612e-07,2.194515762443353e-07,2.6497503198810095e-07,99.87109314193236,99.88844472462756,9201,1533
2,0.01,dml_ensemble,3066,-4.383128149770322e-08,1.0329319386205928e-06,8.12414597796898e-07,6.71721894905481e-07,2.044719380404558e-06,2.8521842250663365e-06,4.684784597408715e-06,99.22853077431779,99.30977738839952,9201,1533
2,0.01,mlp_ensemble,3066,-4.3831281497703025e-08,6.414128257520746e-06,4.372097199176927e-06,3.011431354570605e-06,1.319240074424539e-05,2.2512867865311077e-05,4.562963706799026e-05,95.2094592342027,96.28549221644897,9201,1533
