block_id,local_state_id,physical_path_index,interval_index,t,tau,n_fix_past,n_fix_future,distance_to_nearest_fixing_days,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,r,kappa_q,theta_q_log_K,sigma_q,physical_seed
1,b1_local_0000000,0,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0292207562768414,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000001,1,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.005085765378883,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000002,2,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.1284319743463356,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000003,3,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.147753293946274,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000004,4,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.893949528540225,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000005,5,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0343153111613481,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000006,6,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9784020221611419,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000007,7,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9964395281081265,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000008,8,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.8984030654260102,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000009,9,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0536676309468138,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000010,10,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9634045989331571,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000011,11,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9917448437066478,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000012,12,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9111384326311897,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000013,13,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0658844453741245,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000014,14,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9898345215262007,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000015,15,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0088251479307118,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000016,16,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.05326793001804,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000017,17,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.147952397196867,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000018,18,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.002533790684047,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000019,19,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9853741148745087,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000020,20,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9934568858071002,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000021,21,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.1158614988223765,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000022,22,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0810900940490025,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000023,23,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.8895994976035839,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000024,24,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.1275007504628396,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000025,25,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0363989340197381,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000026,26,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0008145826778125,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000027,27,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.016255114943079,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000028,28,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9908024492065489,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000029,29,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.8852092649154072,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000030,30,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9446140280949985,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000031,31,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0843312749813063,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000032,32,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0223654918514649,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000033,33,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.1226012576587059,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000034,34,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0703648221520103,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000035,35,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9608099845234198,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000036,36,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0236706351383495,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000037,37,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.014109031657163,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000038,38,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9466612384887235,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000039,39,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0207230176789002,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000040,40,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.093682940022452,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000041,41,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0810108312157127,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000042,42,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0302138765809064,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000043,43,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9605971466235812,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000044,44,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0863062149935767,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000045,45,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9058047398066067,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000046,46,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0328342571617468,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000047,47,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0659157721415204,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000048,48,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.2493542057021072,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000049,49,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.8996126025637874,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000050,50,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.035746616232217,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000051,51,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9608314856537469,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000052,52,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9957893290887481,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000053,53,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9236105187083913,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000054,54,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0816928292446428,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000055,55,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.003458520749051,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000056,56,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9874973828423534,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000057,57,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9782992652248295,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000058,58,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9367073013930859,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000059,59,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0021488514176502,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000060,60,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.950835549909815,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000061,61,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.025247422058726,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000062,62,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9992244991581268,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000063,63,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0096589180619164,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000064,64,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0501941679558995,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000065,65,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9701236026946565,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000066,66,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9654640117062154,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000067,67,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0075278256793774,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000068,68,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9189526378704734,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000069,69,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0452336009422711,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000070,70,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0105883100557715,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000071,71,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9269374398245845,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000072,72,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9251627104035186,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000073,73,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,0.9346399148820741,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
1,b1_local_0000074,74,0,0.041666666666666664,0.9583333333333334,0,12,15.208333333333332,1.0,1.0582392795645574,0.0,,0.03,32.66452619190628,0.0,0.6247403836973323,9101
