shock_size,n_fix_future,tau,distance_to_nearest_fixing_days,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs
0.005,1,0.060000000000000005,8.51666666666666,mlp_ensemble,1024,-3.798250398127054e-08,4.374681334011824e-06,3.0196605470377326e-06,2.361460762848265e-06,8.26167504498931e-06,1.8472104102203046e-05,2.7058965813376022e-05
0.005,1,0.060000000000000005,8.51666666666666,no_hedge,1024,-3.798250398160102e-08,4.066588586539171e-05,3.187919079532649e-05,3.5311675252401196e-05,5.954675357483958e-05,5.995086130126226e-05,6.048811441401042e-05
0.005,1,0.060000000000000005,8.51666666666666,oracle_rqmc,1024,-3.7982503981258077e-08,7.978161500736687e-08,6.204648383445459e-08,5.071997614151616e-08,1.2787185738258017e-07,1.2882024968216226e-07,1.3004072526627905e-07
0.01,12,0.9583333333333334,15.208333333333332,dml_ensemble,1024,-4.6164616794318156e-08,8.535677560556342e-07,6.967889480732565e-07,6.172369732151099e-07,1.5485727880720137e-06,2.141852354437337e-06,3.045932648441924e-06
0.01,12,0.9583333333333334,15.208333333333332,mlp_ensemble,1024,-4.616461679431814e-08,3.131138176057252e-06,2.57932157906962e-06,2.4003540237919416e-06,6.010244130963141e-06,7.836021104680426e-06,9.69283881551717e-06
0.01,12,0.9583333333333334,15.208333333333332,no_hedge,1024,-4.6164616794306046e-08,0.00012409999624902744,0.00012378972052891,0.00012349389823032401,0.00013912260631531627,0.00014329111763145192,0.00015179654186862207
0.01,12,0.9583333333333334,15.208333333333332,oracle_rqmc,1024,-4.616461679431808e-08,1.0053459206816345e-07,8.144746874646993e-08,7.177462396970434e-08,1.937808894949725e-07,2.3876007296559686e-07,3.13305377501493e-07
0.01,11,0.875,15.20833333333333,dml_ensemble,1024,-3.8742587970214436e-08,8.828132146683136e-07,6.825083068249763e-07,5.507327709605817e-07,1.805894926594132e-06,2.601515372699858e-06,3.763219645409714e-06
0.01,11,0.875,15.20833333333333,mlp_ensemble,1024,-3.8742587970214264e-08,3.72278552752544e-06,2.54762637849206e-06,1.492140200806509e-06,7.231365230604246e-06,9.294306221156347e-06,2.5553185414863304e-05
0.01,11,0.875,15.20833333333333,no_hedge,1024,-3.874258797021372e-08,0.00012630615343594715,0.00012310587933920985,0.00012166694419496818,0.00017171364796999942,0.0001906889263647084,0.00020370967354972971
0.01,11,0.875,15.20833333333333,oracle_rqmc,1024,-3.874258797021436e-08,1.544746793464324e-07,1.204815197231113e-07,9.56897139563155e-08,3.104963365618454e-07,4.365724442259802e-07,6.39285748486293e-07
0.01,10,0.7916666666666667,15.20833333333333,dml_ensemble,1024,-3.8739154933621635e-08,9.406471385102977e-07,7.367938780857852e-07,6.110293093616306e-07,1.859376621978214e-06,2.7701424935601804e-06,3.2840255510975514e-06
0.01,10,0.7916666666666667,15.20833333333333,mlp_ensemble,1024,-3.873915493362141e-08,4.147325146117691e-06,2.8592588510096018e-06,1.7867722903289296e-06,1.0219103190404572e-05,1.2104163886218745e-05,1.3281944084497411e-05
0.01,10,0.7916666666666667,15.20833333333333,no_hedge,1024,-3.873915493362183e-08,0.0001287415364582291,0.00012286675449893838,0.0001226980506519055,0.00018583309412642749,0.00019692156675842727,0.00020426465190530319
0.01,10,0.7916666666666667,15.20833333333333,oracle_rqmc,1024,-3.873915493362154e-08,1.9871120605829386e-07,1.5572493431775207e-07,1.290489914368008e-07,4.0555188291430724e-07,5.093404493982213e-07,6.568090597827399e-07
0.01,9,0.7083333333333334,15.20833333333332,dml_ensemble,1022,-3.9702625990761936e-08,7.85908199601811e-07,6.342777197042005e-07,5.576358324605029e-07,1.5393587130108338e-06,1.9801239111154526e-06,2.719562660411019e-06
0.01,9,0.7083333333333334,15.20833333333332,mlp_ensemble,1022,-3.9702625990761314e-08,5.6441088986157885e-06,3.81650899888253e-06,3.0029040128128596e-06,1.048396766869445e-05,1.640418262320807e-05,5.581569270970986e-05
0.01,9,0.7083333333333334,15.20833333333332,no_hedge,1022,-3.9702625990755676e-08,0.00013257484565949563,0.00012426570387128675,0.00012739111225569966,0.0001971560340807636,0.00021170190772812857,0.0002222025384758866
0.01,9,0.7083333333333334,15.20833333333332,oracle_rqmc,1022,-3.9702625990761896e-08,2.358474585169178e-07,1.8400694095636723e-07,1.4776438621387484e-07,5.067695237782205e-07,6.244900420135698e-07,7.992957567559222e-07
0.01,8,0.625,15.20833333333334,dml_ensemble,1022,-2.945752928255509e-08,9.055225343144873e-07,7.480718169505131e-07,6.766239407094405e-07,1.7410730623054528e-06,2.1362162019583604e-06,2.7248298209356088e-06
0.01,8,0.625,15.20833333333334,mlp_ensemble,1022,-2.94575292825553e-08,4.860918108569224e-06,3.0446159942193932e-06,1.8746417846731377e-06,1.0005045975861947e-05,2.0321556707620887e-05,3.101962112291671e-05
0.01,8,0.625,15.20833333333334,no_hedge,1022,-2.9457529282562472e-08,0.0001342807175847827,0.00012390213708439265,0.00012531542119053989,0.0002045469737086622,0.00021488703790983952,0.00022644332087652652
0.01,8,0.625,15.20833333333334,oracle_rqmc,1022,-2.9457529282555193e-08,2.653070503677015e-07,2.135030876024411e-07,1.8148692908336858e-07,5.415097263189284e-07,7.028905100866674e-07,8.379509025082158e-07
0.01,7,0.5416666666666666,15.20833333333332,dml_ensemble,1022,-4.877207247785236e-08,1.0831832197059116e-06,8.827759388083025e-07,7.954922386693011e-07,2.0384924886041326e-06,2.868428802216072e-06,4.307136773091386e-06
