shock_size,n_fix_future,tau,distance_to_nearest_fixing_days,strategy,n_observations,mean_residual,rmse,mae,median_abs,p95_abs,p99_abs,max_abs
0.02,6,0.45833333333333326,15.20833333333332,no_hedge,1024,-1.4235497481354936e-07,0.00028103278982848697,0.0002491671112721723,0.0002558131274088566,0.0004375274774265149,0.00045765501932776525,0.0004676915658053393
0.02,6,0.45833333333333326,15.20833333333332,oracle_rqmc,1024,-1.4235497481353464e-07,1.3524859628933579e-06,1.0930393795659616e-06,9.348478577580566e-07,2.9169878834642697e-06,3.407070354511087e-06,3.5649055062570616e-06
0.02,5,0.375,15.20833333333332,dml_ensemble,1022,-1.5532196199687714e-07,2.7276353712007778e-06,2.2187450888110058e-06,2.0117646235390908e-06,5.230258510440845e-06,6.326992308624849e-06,8.451509044707175e-06
0.02,5,0.375,15.20833333333332,mlp_ensemble,1022,-1.5532196199687684e-07,1.2712259105067342e-05,8.859530745674458e-06,6.2071126248095605e-06,2.7390123960953187e-05,4.2274533660577855e-05,8.452469748911165e-05
0.02,5,0.375,15.20833333333332,no_hedge,1022,-1.5532196199687798e-07,0.00029009056282972435,0.0002525844575914589,0.0002655033323624,0.00044938720047477294,0.00046481243521103685,0.0004743706982847859
0.02,5,0.375,15.20833333333332,oracle_rqmc,1022,-1.5532196199687724e-07,1.5231226861426808e-06,1.2598212744781807e-06,1.095848305799821e-06,3.211855154776376e-06,3.4730857677460306e-06,3.570169108444148e-06
0.02,4,0.29166666666666674,15.20833333333332,dml_ensemble,1024,-1.9961558733177488e-07,3.1196428316077273e-06,2.48341505139338e-06,2.083456371783452e-06,5.818945132376928e-06,7.847059466885649e-06,1.333027539665143e-05
0.02,4,0.29166666666666674,15.20833333333332,mlp_ensemble,1024,-1.9961558733177507e-07,1.3769600656241633e-05,1.1187451612819433e-05,9.730666669550375e-06,2.748824977714741e-05,3.4147357157951634e-05,4.379020230700566e-05
0.02,4,0.29166666666666674,15.20833333333332,no_hedge,1024,-1.9961558733177525e-07,0.0002983633585009832,0.00025378931327624114,0.0002624156660213984,0.000456777074641475,0.00046847803182867867,0.0004790276674528707
0.02,4,0.29166666666666674,15.20833333333332,oracle_rqmc,1024,-1.9961558733177483e-07,1.7753213609620828e-06,1.4983104743875267e-06,1.3244116830135014e-06,3.3399262202795605e-06,3.5183169471717796e-06,3.6500250614207737e-06
0.02,3,0.20833333333333326,15.20833333333332,dml_ensemble,1024,-1.5172345462330687e-07,3.011656714718317e-06,2.48448168081326e-06,2.2624261059417463e-06,5.350941173650602e-06,6.935818911624576e-06,1.1814154996484146e-05
0.02,3,0.20833333333333326,15.20833333333332,mlp_ensemble,1024,-1.517234546233066e-07,2.010162703381666e-05,1.4887970509515212e-05,1.1142180981025342e-05,4.3012405939997885e-05,5.841983299754547e-05,9.42361381784609e-05
0.02,3,0.20833333333333326,15.20833333333332,no_hedge,1024,-1.5172345462331833e-07,0.0003064829126087029,0.0002572426189105258,0.00028422124068163334,0.00046103517563554907,0.0004701258547813542,0.0004755742758200121
0.02,3,0.20833333333333326,15.20833333333332,oracle_rqmc,1024,-1.5172345462330684e-07,1.9914160476470074e-06,1.6884663048080942e-06,1.6206748891503986e-06,3.44459578652438e-06,3.5522144398143756e-06,3.6240557057328642e-06
0.02,2,0.125,15.20833333333332,dml_ensemble,1024,-1.4346571159794338e-07,3.287371492387312e-06,2.5422297899922715e-06,1.7891389364880868e-06,6.453800755473971e-06,7.604524394630072e-06,1.3657657421482035e-05
0.02,2,0.125,15.20833333333332,mlp_ensemble,1024,-1.4346571159794327e-07,2.114726256246861e-05,1.532278367846518e-05,1.0754907845298278e-05,4.4692361893705336e-05,6.450734656676476e-05,0.00011395689465253529
0.02,2,0.125,15.20833333333332,no_hedge,1024,-1.4346571159793645e-07,0.0003102142854681367,0.00025125799828421474,0.000274514660492308,0.00046531186941581207,0.0004726009838371101,0.0004832607630178634
0.02,2,0.125,15.20833333333332,oracle_rqmc,1024,-1.4346571159794333e-07,2.316468631503048e-06,1.981892632064016e-06,2.2276683220355347e-06,3.5140287433643067e-06,3.596493624062243e-06,3.642032813220582e-06
0.02,1,0.060000000000000005,8.51666666666666,dml_ensemble,1024,-6.074549634304145e-07,2.310520392505226e-06,1.793577120925825e-06,1.308603045725784e-06,4.590804810492157e-06,5.1350190926362185e-06,1.5621730014569768e-05
0.02,1,0.060000000000000005,8.51666666666666,mlp_ensemble,1024,-6.07454963430414e-07,1.7544773815207878e-05,1.211679964847385e-05,9.355994007327248e-06,3.313194792438093e-05,7.388841640881256e-05,0.0001097829729845523
0.02,1,0.060000000000000005,8.51666666666666,no_hedge,1024,-6.074549634304104e-07,0.00016267714229300888,0.00012752195707105735,0.00014127789648875257,0.00023868640455987477,0.00024111954123207173,0.00024353194387884136
0.02,1,0.060000000000000005,8.51666666666666,oracle_rqmc,1024,-6.074549634304146e-07,1.2744268818637562e-06,9.911599704734317e-07,8.225501795583245e-07,2.053069804565075e-06,2.0789103093017247e-06,2.100277342832372e-06
