scenario_id,model_type,n_seeds,price_true,delta_true,price_abs_error_mean,price_abs_error_max_seed,price_error_mean,price_pred_sd_seed,delta_abs_error_mean,delta_abs_error_max_seed,delta_error_mean,delta_pred_sd_seed,split,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,t,tau,n_fix_past,n_fix_future,r,kappa_q,theta_q_log_K,sigma_q,kappa_p,theta_p_log_K,sigma_p,state_seed,pricing_seed,price_K,delta,price_se_rep,delta_se_rep,n_paths,n_replications,pricing_engine,compute_backend,compute_dtype,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,required_future_avg_K_for_strike,spot_minus_required_future_avg
reference_0000000,dml,5,0.0003421320379857,0.0003801591519732,3.594958791352038e-05,8.105668101743654e-05,-1.6575072051016625e-05,4.415318951062212e-05,2.238132781751076e-05,5.3820332857663846e-05,-8.531946744452248e-07,3.259412287254456e-05,reference,0.9843205868033692,1.0916908497568765,0.5929199410689642,1.016434184689653,0.597905160440132,0.4020948395598679,7,5,0.003413309007883,36.13963853567839,-0.0822235642176435,0.6227021369338036,32.66452619190628,0.0,0.6247403836973323,189412352720896,189841849450496,0.0003421320379857,0.0003801591519732,1.356464801812181e-06,2.212249967590416e-06,131072,16,rqmc,pytorch_cuda,float32,0.9788808419830216,-0.02111915801697839,0.02111915801697839,0.9769921414344861,0.11469870832239037
reference_0000000,mlp,5,0.0003421320379857,0.0003801591519732,2.885067867636422e-05,3.764420466197837e-05,-1.8028308131546622e-05,2.6272382729591518e-05,0.00022630283621403595,0.0003803745170405,-7.975399620339596e-05,0.0002857584116989865,reference,0.9843205868033692,1.0916908497568765,0.5929199410689642,1.016434184689653,0.597905160440132,0.4020948395598679,7,5,0.003413309007883,36.13963853567839,-0.0822235642176435,0.6227021369338036,32.66452619190628,0.0,0.6247403836973323,189412352720896,189841849450496,0.0003421320379857,0.0003801591519732,1.356464801812181e-06,2.212249967590416e-06,131072,16,rqmc,pytorch_cuda,float32,0.9788808419830216,-0.02111915801697839,0.02111915801697839,0.9769921414344861,0.11469870832239037
reference_0000001,dml,5,0.0300514773698523,0.0009762784829945,9.633251046260602e-05,0.0001327085634512,1.2025593157591916e-05,0.00011243084538602944,8.211682306496639e-05,0.0001331227322752,-3.2183846979145524e-05,9.831847235244264e-05,reference,1.077208984293975,1.0673637375040843,0.1774454603928175,1.064672762356905,0.185120947053656,0.814879052946344,2,10,0.07696278616786,66.65788236632943,0.0230863944984687,0.6982526923716068,32.66452619190628,0.0,0.6247403836973323,189412352720897,189841849450497,0.0300514773698523,0.0009762784829945,1.3388438804676674e-06,2.8068890596218745e-07,131072,16,rqmc,pytorch_cuda,float32,1.0318498716763123,0.03184987167631226,0.03184987167631226,0.9870654475286191,0.08029828997546518
reference_0000001,mlp,5,0.0300514773698523,0.0009762784829945,7.065639607684132e-05,0.0001595561022658,-6.83395517052132e-06,9.508498434130438e-05,0.0001711659537407752,0.0003103387828805,5.991004490975196e-06,0.00022284514345688358,reference,1.077208984293975,1.0673637375040843,0.1774454603928175,1.064672762356905,0.185120947053656,0.814879052946344,2,10,0.07696278616786,66.65788236632943,0.0230863944984687,0.6982526923716068,32.66452619190628,0.0,0.6247403836973323,189412352720897,189841849450497,0.0300514773698523,0.0009762784829945,1.3388438804676674e-06,2.8068890596218745e-07,131072,16,rqmc,pytorch_cuda,float32,1.0318498716763123,0.03184987167631226,0.03184987167631226,0.9870654475286191,0.08029828997546518
reference_0000002,dml,5,0.0116047342889942,0.0338769406080246,8.948888506778659e-05,0.0001745393458927,-5.7636484820842396e-05,9.570199707336323e-05,0.0003187757183783413,0.000752794481176,0.00013663316580985873,0.00041817022946403397,reference,1.1477210838347671,0.9502629296309382,0.8330365900331609,0.9996439080397932,0.8948909354861826,0.1051090645138174,10,2,0.0262826125323772,42.47407701611519,0.093999209655163,0.6558222055435181,32.66452619190628,0.0,0.6247403836973323,189412352720898,189841849450498,0.0116047342889942,0.0338769406080246,1.1890880696549349e-07,3.5469228556380643e-06,131072,16,rqmc,pytorch_cuda,float32,1.0112770498798769,0.011277049879876877,0.011277049879876877,1.0017804598010347,-0.051517530170096526
reference_0000002,mlp,5,0.0116047342889942,0.0338769406080246,7.289065365108979e-05,0.0001191038632048,-7.043998840418046e-05,5.1835993074507367e-05,0.0013621007204860434,0.0026427743722529,0.0007277141498196435,0.0017449841867798483,reference,1.1477210838347671,0.9502629296309382,0.8330365900331609,0.9996439080397932,0.8948909354861826,0.1051090645138174,10,2,0.0262826125323772,42.47407701611519,0.093999209655163,0.6558222055435181,32.66452619190628,0.0,0.6247403836973323,189412352720898,189841849450498,0.0116047342889942,0.0338769406080246,1.1890880696549349e-07,3.5469228556380643e-06,131072,16,rqmc,pytorch_cuda,float32,1.0112770498798769,0.011277049879876877,0.011277049879876877,1.0017804598010347,-0.051517530170096526
reference_0000003,dml,5,0.0,0.0,2.120962190540962e-05,4.826750090975232e-05,1.807797027965144e-05,2.188851535267507e-05,1.8267083560582715e-05,2.970476222004618e-05,1.8267083560582715e-05,8.62660957827709e-06,reference,0.9131101025734096,1.0111419679351763,0.354547592944987,1.0636427788349612,0.3631275135558098,0.6368724864441901,4,8,0.0527166153490543,73.88582701608539,-0.1334131825791983,0.5801324521005153,32.66452619190628,0.0,0.6247403836973323,189412352720899,189841849450499,0.0,0.0,0.0,0.0,131072,16,rqmc,pytorch_cuda,float32,0.9388172499026992,-0.061182750097300787,0.061182750097300787,0.9681786105825194,0.042963357352656883
reference_0000003,mlp,5,0.0,0.0,9.393334431639228e-06,2.49008964919549e-05,-3.120815890046008e-06,1.3408313051633421e-05,0.00011208243578420968,0.0003090820566432,-7.405427881477774e-05,0.00014959596944411725,reference,0.9131101025734096,1.0111419679351763,0.354547592944987,1.0636427788349612,0.3631275135558098,0.6368724864441901,4,8,0.0527166153490543,73.88582701608539,-0.1334131825791983,0.5801324521005153,32.66452619190628,0.0,0.6247403836973323,189412352720899,189841849450499,0.0,0.0,0.0,0.0,131072,16,rqmc,pytorch_cuda,float32,0.9388172499026992,-0.061182750097300787,0.061182750097300787,0.9681786105825194,0.042963357352656883
reference_0000004,dml,5,0.006460093834903,0.0001857636689237,9.647199547119993e-05,0.000201925317349,-1.2726970802058871e-06,0.0001424426977581709,0.00011348992490216765,0.0002630882372956,7.770686922745385e-05,0.00013266103828518574,reference,0.852231354243122,1.0188215120874236,0.7792334580203842,1.038977944027179,0.7634642389137298,0.2365357610862702,9,3,0.0666808078438043,83.22819049656391,-0.0982706925405366,0.5902021344006062,32.66452619190628,0.0,0.6247403836973323,189412352720900,189841849450500,0.006460093834903,0.0001857636689237,1.5661972361083906e-07,6.165059855491267e-08,131072,16,rqmc,pytorch_cuda,float32,1.006097955101623,0.0060979551016229205,0.0060979551016229205,0.883066167918463,0.1357553441689605
reference_0000004,mlp,5,0.006460093834903,0.0001857636689237,8.317907116944472e-05,0.0001625763209056,4.8772606313382515e-06,0.00011248155834082218,0.0007570173452421079,0.0018526106613474,-0.0006551342281182279,0.0008329606132299382,reference,0.852231354243122,1.0188215120874236,0.7792334580203842,1.038977944027179,0.7634642389137298,0.2365357610862702,9,3,0.0666808078438043,83.22819049656391,-0.0982706925405366,0.5902021344006062,32.66452619190628,0.0,0.6247403836973323,189412352720900,189841849450500,0.006460093834903,0.0001857636689237,1.5661972361083906e-07,6.165059855491267e-08,131072,16,rqmc,pytorch_cuda,float32,1.006097955101623,0.0060979551016229205,0.0060979551016229205,0.883066167918463,0.1357553441689605
reference_0000005,dml,5,0.0862677688710391,0.0020015854242956,0.0001161544172804277,0.0003386977300158,7.280833319839781e-05,0.0001672792912121581,8.975253566518348e-05,0.0002162919650981,-2.425441236406681e-05,0.0001230541141186797,reference,1.127971934271045,1.1682067125713949,0.3325519992790508,0.9976559978371524,0.3461601587478071,0.6538398412521929,4,8,0.01306052275002,52.50566401705146,0.1213608994109601,0.6857526901364326,32.66452619190628,0.0,0.6247403836973323,189412352720901,189841849450501,0.0862677688710391,0.0020015854242956,2.711066790809986e-07,6.62807391399223e-10,131072,16,rqmc,pytorch_cuda,float32,1.0870076955829893,0.08700769558298926,0.08700769558298926,1.0011720010814238,0.16703471148997107
reference_0000005,mlp,5,0.0862677688710391,0.0020015854242956,0.0001451578854154239,0.0003159439597741,2.9588190598943907e-05,0.00021541747034849217,0.00115926164962374,0.0028965977423858,0.0009349444865066999,0.001320125456396452,reference,1.127971934271045,1.1682067125713949,0.3325519992790508,0.9976559978371524,0.3461601587478071,0.6538398412521929,4,8,0.01306052275002,52.50566401705146,0.1213608994109601,0.6857526901364326,32.66452619190628,0.0,0.6247403836973323,189412352720901,189841849450501,0.0862677688710391,0.0020015854242956,2.711066790809986e-07,6.62807391399223e-10,131072,16,rqmc,pytorch_cuda,float32,1.0870076955829893,0.08700769558298926,0.08700769558298926,1.0011720010814238,0.16703471148997107
reference_0000006,dml,5,0.0504781624767929,0.0005926267367613,0.00012108252121292626,0.0003252557366729,-2.1271805990305123e-05,0.0001853250645959099,0.0001093669248772919,0.0003389989098944,9.07552652394539e-05,0.00015133523312365528,reference,1.0157503395341336,0.9735659940210346,0.6036648698969233,1.03485406268044,0.5845182097051294,0.4154817902948707,7,5,0.043621155694127,61.25746611505747,0.0703303703497285,0.6483222036063672,32.66452619190628,0.0,0.6247403836973323,189412352720902,189841849450502,0.0504781624767929,0.0005926267367613,1.4649399920735765e-07,3.5018325575726007e-10,131072,16,rqmc,pytorch_cuda,float32,1.0514013365987513,0.051401336598751346,0.051401336598751346,0.9512043122473841,0.0223616817736505
reference_0000006,mlp,5,0.0504781624767929,0.0005926267367613,6.9397446492154e-05,0.0001250762230985,-2.6322284351086002e-05,8.6507374443778e-05,0.00015474196163578363,0.0002845289708401,4.093037329974364e-05,0.00019440523640563572,reference,1.0157503395341336,0.9735659940210346,0.6036648698969233,1.03485406268044,0.5845182097051294,0.4154817902948707,7,5,0.043621155694127,61.25746611505747,0.0703303703497285,0.6483222036063672,32.66452619190628,0.0,0.6247403836973323,189412352720902,189841849450502,0.0504781624767929,0.0005926267367613,1.4649399920735765e-07,3.5018325575726007e-10,131072,16,rqmc,pytorch_cuda,float32,1.0514013365987513,0.051401336598751346,0.051401336598751346,0.9512043122473841,0.0223616817736505
reference_0000007,dml,5,0.0012776384610333,0.0041035505419131,6.36380461938053e-05,0.0002062846130219,2.9474080118577065e-05,0.0001062864966967605,4.470164552605443e-05,7.35376721234058e-05,1.501687015680684e-05,5.220538523220884e-05,reference,0.9639121757354588,0.9511390016503564,0.0,,0.0500849396456033,0.9499150603543968,0,12,0.0372628388553857,29.91376875713468,-0.0275163464529751,0.5526324492692948,32.66452619190628,0.0,0.6247403836973323,189412352720903,189841849450503,0.0012776384610333,0.0041035505419131,2.3467266667881784e-06,2.253510654331685e-05,131072,16,rqmc,pytorch_cuda,float32,0.9745795805231001,-0.02542041947689988,0.02542041947689988,1.0,-0.048860998349643636
