scenario_id,price_abs_error_mean_dml,price_abs_error_mean_mlp,delta_abs_error_mean_dml,delta_abs_error_mean_mlp,dml_minus_mlp_price_abs_error,dml_minus_mlp_delta_abs_error,spot_K,fixed_avg_contrib_K,tau,r,kappa_q,theta_q_log_K,sigma_q,n_fix_past,n_fix_future,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,split
test_0000010,6.682212785566774e-05,2.4494333237654217e-05,0.00016823493600965104,0.00100353222788966,4.232779461801352e-05,-0.0008352972918800089,0.9652627730745056,0.6486868881507387,0.2968689885921776,0.0217653767764568,36.67048550955951,0.0378042589611353,0.6614180000126362,8,4,0.994701222280033,-0.005298777719967007,0.005298777719967007,test
test_0000011,0.0001262616325291331,2.217408424475334e-05,4.311848827675747e-05,0.0001945276303202416,0.00010408754828437975,-0.00015140914204348413,0.8753099715980789,0.1432761172305473,0.8322623883839697,0.0724865367263555,65.6350770778954,-0.0827698388954842,0.6055460135638714,2,10,0.9114665701597473,-0.0885334298402527,0.0885334298402527,test
test_0000012,0.00010246672743534628,6.776581928601617e-05,0.00012470270740987203,0.0010395204650174156,3.470090814933011e-05,-0.0009148177576075436,1.0405117306880445,0.4850260172375166,0.4941236943472176,0.0542192742228508,58.212880719453096,-0.0327301482402045,0.5571763490140439,6,6,0.9696363716479235,-0.03036362835207651,0.03036362835207651,test
test_0000013,0.00020216877965741368,9.216809556952135e-05,8.256798417181463e-05,0.00094864670014858,0.00011000068408789233,-0.0008660787159767653,1.08320365215165,0.0941296665612799,0.9105785401538016,0.0049446446448564,32.47335628978908,0.0715218293179758,0.691172132641077,1,11,1.082451034771949,0.08245103477194893,0.08245103477194893,test
test_0000014,7.332099443145235e-05,3.818702659620227e-05,6.476939454345534e-05,0.00081599769425456,3.5133967835250084e-05,-0.0007512282997111047,1.0857905180380203,0.7601232565470918,0.2229614401701837,0.0623161590099334,83.12059197574854,0.1465943064186249,0.6306303887069226,9,3,1.0498830225590718,0.04988302255907184,0.04988302255907184,test
test_0000015,1.543682167111579e-05,1.305068701585449e-05,2.226413608290151e-05,9.616672104358542e-05,2.3861346552613003e-06,-7.390258496068391e-05,1.0385816577797116,0.1635397690329998,0.7581084087491036,0.0316353563219308,54.06612544693053,-0.1102649352924902,0.6172491522133351,2,10,0.9187021048624059,-0.08129789513759411,0.08129789513759411,test
test_0000016,0.00010061577448859126,9.577609945690053e-05,0.00014939798857680509,0.00063543464846558,4.839675031690727e-06,-0.00048603665988877494,1.0963353480850826,0.7430269066340385,0.1883851724211126,0.0407946453988552,68.6162537895143,-0.0007966695710684,0.698476499915123,9,3,0.9950322562477534,-0.004967743752246623,0.004967743752246623,test
test_0000017,6.0158699423691316e-05,6.601905284194621e-05,0.00020176808837127212,0.0004640328382291784,-5.860353418254895e-06,-0.0002622647498579063,1.0145159599047409,0.2263574308884068,0.7216837786138058,0.0102639194577932,33.702946996316314,-0.0442482945043937,0.5544251707196236,3,9,0.946312530101489,-0.05368746989851103,0.05368746989851103,test
test_0000018,2.3865590938191433e-05,1.2842244886344945e-05,7.145882395982708e-05,0.00033944262992978826,1.1023346051846488e-05,-0.0002679838059699612,1.0257856377470176,0.44354569537306,0.5119645320344717,0.0726219989359378,76.05571119487286,-0.1393864928921333,0.61497713804245,5,7,0.9565862694667167,-0.043413730533283346,0.043413730533283346,test
test_0000019,0.00010010479009879096,5.3262934183139075e-05,0.00013167580914432453,0.000563972989300857,4.6841855915651886e-05,-0.0004322971801565325,1.0235024743471992,0.0,0.9265712419524788,0.0231850998848676,41.76300917752087,0.0969626143188686,0.6383931681513786,0,12,1.0998946123089297,0.09989461230892971,0.09989461230892971,test
test_0000020,9.696162377291264e-05,0.00021611871803532868,0.00019801891073758515,0.0019484974943323,-0.00011915709426241604,-0.0017504785835947148,0.8338709953330512,0.6470780546865292,0.3221605797298252,8.50611925125122e-05,51.12270553596318,0.1343111343573307,0.6892409935593604,8,4,1.0284517705188332,0.028451770518833186,0.028451770518833186,test
test_0000021,2.0988741610086793e-05,8.719307652781117e-06,2.8575417009198613e-05,0.00010503056877263727,1.2269433957305676e-05,-7.645515176343866e-05,1.019296154137742,0.0848208015428522,0.8557056171353906,0.0506535551697015,86.06534041464329,-0.0980611667545341,0.5827012044191361,1,11,0.9179873343772238,-0.0820126656227762,0.0820126656227762,test
test_0000022,0.00016125959354306905,0.00012264354755711643,0.00018371639320278,0.0039273434401425,3.861604598595262e-05,-0.0037436270469397206,0.9760457451759148,0.8638162057467559,0.1107832792215049,0.0333357551693916,28.15297538600862,-0.0102851132018715,0.6029303726553917,10,2,1.0286710451064423,0.02867104510644225,0.02867104510644225,test
