scenario_id,model_type,n_seeds,price_true,delta_true,price_abs_error_mean,price_abs_error_max_seed,price_error_mean,price_pred_sd_seed,delta_abs_error_mean,delta_abs_error_max_seed,delta_error_mean,delta_pred_sd_seed,split,S0_K,spot_K,fixed_avg_contrib_K,past_avg_K,t,tau,n_fix_past,n_fix_future,r,kappa_q,theta_q_log_K,sigma_q,kappa_p,theta_p_log_K,sigma_p,state_seed,pricing_seed,price_K,delta,price_se_rep,delta_se_rep,n_paths,n_replications,pricing_engine,compute_backend,compute_dtype,expected_final_avg_K_Q,expected_moneyness_Q,abs_expected_moneyness_Q,required_future_avg_K_for_strike,spot_minus_required_future_avg,target_ranked
test_0002712,mlp,5,0.1020731627941131,0.0532457679510116,0.08260280410813464,0.08819059439993,-0.08260280410813464,0.0032777757278200847,0.05790695579343043,0.1296865368327904,-0.013097503169024463,0.08048598077103908,test,1.164480269351043,1.0120584826005548,0.7357483145647995,1.1036224718471992,0.7430979878176004,0.2569020121823996,8,4,0.0391772206872701,69.49875138886273,0.110931025087739,0.6235720966756344,32.66452619190628,0.0,0.6247403836973323,185117385427608,185546882157208,0.1020731627941131,0.0532457679510116,,,8192,1,rqmc,pytorch_cuda,float32,1.1031053036213827,0.1031053036213827,0.1031053036213827,0.7927550563056015,0.21930342629495325,price
test_0001084,mlp,5,0.094561830163002,0.0672185570001602,0.07952302957796228,0.0889951680423317,-0.07952302957796228,0.010063166633224577,0.03731920390525084,0.1058102225311235,0.008673474996449281,0.058027247249829314,test,1.0212565219262617,1.0947687244466553,0.7263465316799907,1.0895197975199862,0.7475169897079468,0.2524830102920532,8,4,0.0162740655988454,86.24492016993463,0.1018761760572571,0.6370369891822338,32.66452619190628,0.0,0.6247403836973323,185117385425980,185546882155580,0.094561830163002,0.0672185570001602,,,8192,1,rqmc,pytorch_cuda,float32,1.094951031899587,0.09495103189958698,0.09495103189958698,0.8209604049600278,0.27380831948662754,price
test_0001084,dml,5,0.094561830163002,0.0672185570001602,0.07316167538808346,0.0875863619180715,-0.07316167538808346,0.018232574597266595,0.05050744677991026,0.063265480858121,-0.05050744677991026,0.012830815703604725,test,1.0212565219262617,1.0947687244466553,0.7263465316799907,1.0895197975199862,0.7475169897079468,0.2524830102920532,8,4,0.0162740655988454,86.24492016993463,0.1018761760572571,0.6370369891822338,32.66452619190628,0.0,0.6247403836973323,185117385425980,185546882155580,0.094561830163002,0.0672185570001602,,,8192,1,rqmc,pytorch_cuda,float32,1.094951031899587,0.09495103189958698,0.09495103189958698,0.8209604049600278,0.27380831948662754,price
test_0000560,mlp,5,0.0757283717393875,0.055045235902071,0.06599680391720272,0.0699704040755371,-0.06599680391720272,0.004791454381745089,0.3521206490122563,0.6406433265628338,0.3521206490122563,0.2521564197684438,test,1.0997262923046949,0.9610831291982592,0.804965201752509,1.073286935670012,0.827629059040919,0.172370940959081,9,3,0.0725033576786518,80.78225434757769,0.1133214073006732,0.6545894712209701,32.66452619190628,0.0,0.6247403836973323,185117385425456,185546882155056,0.0757283717393875,0.055045235902071,,,8192,1,rqmc,pytorch_cuda,float32,1.0766805149988137,0.07668051499881368,0.07668051499881368,0.7801391929899641,0.18094393620829508,price
test_0006070,dml,5,0.0037176662590354,8.602622983744368e-05,0.05719766089518348,0.0669856322087598,0.05719766089518348,0.010985404913071541,0.060113099419136784,0.08669892945647,0.060113099419136784,0.018283120886362882,test,0.9444374917075038,0.925731948115622,0.7080992520451339,0.9441323360601784,0.7507900789380073,0.2492099210619926,9,3,0.0335432134568691,78.27523374557495,0.1553645732093495,0.6507273037731648,32.66452619190628,0.0,0.6247403836973323,185117385430966,185546882160566,0.0037176662590354,8.602622983744368e-05,,,8192,1,rqmc,pytorch_cuda,float32,1.000479915537681,0.00047991553768089723,0.00047991553768089723,1.1676029918194644,-0.24187104370384238,price
test_0002712,dml,5,0.1020731627941131,0.0532457679510116,0.0559701008765342,0.075736987991758,-0.0559701008765342,0.021294258427003672,0.03353955236667672,0.0471182952368309,-0.03353955236667672,0.008156037223468181,test,1.164480269351043,1.0120584826005548,0.7357483145647995,1.1036224718471992,0.7430979878176004,0.2569020121823996,8,4,0.0391772206872701,69.49875138886273,0.110931025087739,0.6235720966756344,32.66452619190628,0.0,0.6247403836973323,185117385427608,185546882157208,0.1020731627941131,0.0532457679510116,,,8192,1,rqmc,pytorch_cuda,float32,1.1031053036213827,0.1031053036213827,0.1031053036213827,0.7927550563056015,0.21930342629495325,price
test_0000560,dml,5,0.0757283717393875,0.055045235902071,0.04909348715856522,0.0626862718067977,-0.04909348715856522,0.011438297365093737,0.023867454484979,0.044901129077453,-0.023608943190311,0.017896686299092184,test,1.0997262923046949,0.9610831291982592,0.804965201752509,1.073286935670012,0.827629059040919,0.172370940959081,9,3,0.0725033576786518,80.78225434757769,0.1133214073006732,0.6545894712209701,32.66452619190628,0.0,0.6247403836973323,185117385425456,185546882155056,0.0757283717393875,0.055045235902071,,,8192,1,rqmc,pytorch_cuda,float32,1.0766805149988137,0.07668051499881368,0.07668051499881368,0.7801391929899641,0.18094393620829508,price
test_0003716,mlp,5,0.0600297898054122,0.0775288268923759,0.0395209316582882,0.0484664702803222,-0.0395209316582882,0.010731383122196571,0.059105531478613985,0.1485561448947309,0.04131218350032994,0.07592880019797114,test,1.06126770991832,0.9941280941857372,0.8804874528407253,1.0565849434088703,0.9155536198057236,0.0844463801942765,10,2,0.0036295264214277,77.00869866833091,0.1377883790600808,0.5542765678465367,32.66452619190628,0.0,0.6247403836973323,185117385428612,185546882158212,0.0600297898054122,0.0775288268923759,,,8192,1,rqmc,pytorch_cuda,float32,1.0600473780415687,0.06004737804156868,0.06004737804156868,0.7170752829556484,0.27705281123008885,price
test_0003716,dml,5,0.0600297898054122,0.0775288268923759,0.03659228004502628,0.0519713966508885,-0.03659228004502628,0.010190734098321986,0.06153966876477814,0.091210205365975,-0.06153966876477814,0.027923281862441245,test,1.06126770991832,0.9941280941857372,0.8804874528407253,1.0565849434088703,0.9155536198057236,0.0844463801942765,10,2,0.0036295264214277,77.00869866833091,0.1377883790600808,0.5542765678465367,32.66452619190628,0.0,0.6247403836973323,185117385428612,185546882158212,0.0600297898054122,0.0775288268923759,,,8192,1,rqmc,pytorch_cuda,float32,1.0600473780415687,0.06004737804156868,0.06004737804156868,0.7170752829556484,0.27705281123008885,price
test_0007288,mlp,5,0.0752937495708465,0.0165985338389873,0.03210307021347758,0.0464827974400501,-0.03210307021347758,0.011530145778491074,0.07120875372571632,0.1477296185755115,-0.010474236690285044,0.0911747851562246,test,1.1654181842692195,1.0424134536502088,0.9221963472737816,1.106635616728538,0.8978888167999685,0.1021111832000315,10,2,0.0140437772125005,80.05825628526509,-0.1017412552213219,0.6888105328381061,32.66452619190628,0.0,0.6247403836973323,185117385432184,185546882161784,0.0752937495708465,0.0165985338389873,,,8192,1,rqmc,pytorch_cuda,float32,1.075401475297095,0.07540147529709507,0.07540147529709507,0.4668219163573102,0.5755915372928986,price
